params,trades,net,win_rate,expectancy
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 2.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,150.58,56.52173913043478,6.546956521739131
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 2.5, 'atr_mult_sl': 2.0, 'take_profit_r': 3.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,142.32999999999998,47.82608695652174,6.188260869565217
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,123.33,47.82608695652174,5.3621739130434785
"{'rsi_oversold': 20, 'keltner_mult': 1.5, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': True}",23,123.33,47.82608695652174,5.3621739130434785
"{'rsi_oversold': 20, 'keltner_mult': 2.0, 'atr_mult_sl': 2.0, 'take_profit_r': 5.0, 'exit_at_mean': True, 'exit_at_upper': False}",23,123.33,47.82608695652174,5.3621739130434785
