symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
ASO,15M_STK,52.15,3.05,5.43,0.0,True,True
WPM,15M_STK,117.85,3.04,7.33,0.0,True,True
B,15M_STK,44.07,3.01,33.62,0.0,True,True
DELL,15M_STK,127.79,3.01,22.85,0.0,True,True
BROS,15M_STK,62.16,2.98,6.85,0.0,True,True
ANET,15M_STK,133.58,2.96,26.16,0.0,True,True
RBLX,15M_STK,80.92,2.95,23.97,0.0,True,True
CZR,15M_STK,23.55,2.94,7.05,0.0,True,True
KMX,15M_STK,39.31,2.94,6.94,0.0,True,True
TOST,15M_STK,34.03,2.92,14.13,0.0,True,True
NRG,15M_STK,166.16,2.91,11.76,0.0,True,True
SE,15M_STK,131.46,2.91,30.93,0.0,True,True
LSCC,15M_STK,78.6,2.9,5.45,0.0,True,True
MOS,15M_STK,25.03,2.9,11.39,0.0,True,True
GFS,15M_STK,36.88,2.89,6.73,0.0,True,True
MPWR,15M_STK,936.04,2.87,21.96,0.0,True,True
ALK,15M_STK,51.52,2.87,5.29,0.0,True,True
OVV,15M_STK,40.49,2.87,7.56,0.0,True,True
NTNX,15M_STK,50.61,2.86,8.18,0.0,True,True
ETSY,15M_STK,57.31,2.86,8.22,0.0,True,True
TECK,15M_STK,48.04,2.84,12.9,0.0,True,True
MDB,15M_STK,399.59,2.83,31.9,0.0,True,True
WCC,15M_STK,251.94,2.79,7.89,0.0,True,True
BBWI,15M_STK,20.75,2.78,6.96,0.0,True,True
DOCS,15M_STK,43.27,2.77,5.67,0.0,True,True
APA,15M_STK,25.37,2.76,6.47,0.0,True,True
GLW,15M_STK,90.67,2.76,23.1,0.0,True,True
TEAM,15M_STK,154.72,2.73,14.43,0.0,True,True
GWRE,15M_STK,187.68,2.73,10.97,0.0,True,True
RVMD,15M_STK,79.02,2.72,8.25,0.0,True,True
MCHP,15M_STK,65.02,2.71,22.79,0.0,True,True
FCX,15M_STK,51.94,2.71,43.13,0.0,True,True
CRWD,15M_STK,453.53,2.7,28.38,0.0,True,True
NVO,15M_STK,52.4,2.7,37.67,0.0,True,True
RCL,15M_STK,283.24,2.7,30.21,0.0,True,True
RRC,15M_STK,35.3,2.69,6.93,0.0,True,True
FND,15M_STK,62.93,2.69,7.97,0.0,True,True
WLK,15M_STK,74.17,2.68,5.44,0.0,True,True
MTZ,15M_STK,227.54,2.68,8.92,0.0,True,True
CRS,15M_STK,338.93,2.67,13.57,0.0,True,True
BAH,15M_STK,84.88,2.66,9.87,0.0,True,True
HPQ,15M_STK,22.13,2.66,14.3,0.0,True,True
FANG,15M_STK,152.36,2.65,10.29,0.0,True,True
PWR,15M_STK,439.83,2.65,16.62,0.0,True,True
AMAT,15M_STK,268.8,2.64,56.0,0.0,True,True
CROX,15M_STK,86.87,2.64,5.36,0.0,True,True
