SCAN SUMMARY:
  Total in scan: 553
  Current tickers: 78
  Already in list: 38
  NEW (delta): 515

NEW CANDIDATES (not in current list):
----------------------------------------------------------------------
Symbol    Price   SMA120    SMA22   ATR%  Vol($M)
----------------------------------------------------------------------
AFRM   $  76.00 $  74.16 $  70.71  4.52% $ 14.19M
CRS    $ 334.04 $ 276.78 $ 318.28  3.06% $ 14.13M
CNC    $  39.88 $  33.40 $  39.15  3.09% $ 14.03M
YUM    $ 154.32 $ 147.45 $ 150.43  1.64% $ 14.03M
AEM    $ 181.23 $ 153.14 $ 170.57  2.90% $ 14.02M
AG     $  17.20 $  11.50 $  15.56  5.63% $ 13.73M
CCJ    $  93.38 $  83.88 $  90.08  4.04% $ 13.72M
CHRW   $ 165.10 $ 132.66 $ 159.48  2.05% $ 13.62M
CWAN   $  24.18 $  19.96 $  21.99  2.88% $ 13.61M
AEO    $  26.66 $  16.61 $  24.13  4.09% $ 13.31M
ALL    $ 209.33 $ 203.29 $ 207.84  1.63% $ 13.29M
FIVE   $ 188.60 $ 151.45 $ 174.24  2.54% $ 13.27M
PNC    $ 213.54 $ 194.88 $ 202.75  1.51% $ 13.18M
ALB    $ 148.28 $  94.65 $ 132.13  3.71% $ 13.11M
ROKU   $ 110.71 $  96.72 $ 103.07  3.94% $ 12.98M
MLM    $ 641.02 $ 609.88 $ 623.98  1.85% $ 12.91M
JBHT   $ 198.32 $ 156.64 $ 189.50  1.92% $ 12.87M
NTRA   $ 235.49 $ 182.55 $ 234.60  2.35% $ 12.81M
WTW    $ 334.34 $ 326.05 $ 324.35  1.52% $ 12.80M
HUBB   $ 455.98 $ 434.52 $ 439.46  2.24% $ 12.50M
TECK   $  46.55 $  39.52 $  44.07  3.02% $ 12.48M
TPR    $ 130.29 $ 109.47 $ 118.46  2.31% $ 12.39M
PCAR   $ 111.51 $ 100.30 $ 109.43  1.78% $ 12.35M
TSEM   $ 122.49 $  75.00 $ 115.41  4.80% $ 12.31M
AMP    $ 501.18 $ 491.90 $ 478.34  1.54% $ 12.24M
ASND   $ 212.84 $ 196.81 $ 207.30  4.29% $ 12.16M
FOXA   $  73.88 $  61.40 $  69.37  1.80% $ 12.14M
TRGP   $ 183.77 $ 166.76 $ 179.03  2.27% $ 12.12M
LHX    $ 298.20 $ 281.60 $ 282.85  1.98% $ 12.11M
COO    $  82.56 $  72.51 $  79.94  2.99% $ 11.95M
EMR    $ 136.65 $ 134.38 $ 134.38  1.87% $ 11.92M
CART   $  45.62 $  43.31 $  44.00  3.20% $ 11.85M
HUT    $  52.82 $  34.78 $  43.00  9.01% $ 11.66M
GD     $ 345.21 $ 328.85 $ 339.25  1.53% $ 11.53M
ROIV   $  22.49 $  16.03 $  21.38  3.57% $ 11.39M
HSY    $ 184.78 $ 182.49 $ 184.64  1.93% $ 11.35M
KGC    $  29.29 $  22.64 $  27.77  3.36% $ 11.29M
SAIA   $ 329.64 $ 301.48 $ 320.44  3.09% $ 11.26M
TERN   $  42.44 $  14.23 $  36.56  8.59% $ 11.22M
RIO    $  80.92 $  66.72 $  75.19  1.57% $ 10.93M
IBKR   $  65.94 $  65.16 $  64.49  2.46% $ 10.87M
ABVX   $ 145.40 $  86.00 $ 122.27  6.33% $ 10.67M
GEHC   $  83.38 $  76.04 $  82.52  2.06% $ 10.51M
TKO    $ 217.75 $ 188.09 $ 202.60  2.44% $ 10.50M
EW     $  86.34 $  80.00 $  85.13  1.70% $ 10.36M
MET    $  81.10 $  78.85 $  79.31  1.57% $ 10.29M
FOLD   $  14.26 $   8.36 $  10.88  3.59% $ 10.26M
ITT    $ 178.29 $ 173.84 $ 177.45  2.38% $ 10.21M
KEYS   $ 205.46 $ 175.51 $ 203.41  1.93% $ 10.07M
ALGN   $ 158.00 $ 148.21 $ 156.49  2.24% $ 10.06M
WWD    $ 314.32 $ 260.73 $ 297.46  2.25% $ 10.06M
ATI    $ 116.64 $  88.45 $ 105.21  2.64% $ 10.02M
VMC    $ 293.74 $ 289.38 $ 293.02  1.85% $ 10.02M
BIDU   $ 123.32 $ 111.82 $ 121.72  3.19% $  9.77M
MTZ    $ 223.38 $ 196.56 $ 217.87  3.36% $  9.73M
NTR    $  63.54 $  58.40 $  60.45  2.44% $  9.71M
ANF    $ 126.84 $  89.15 $ 106.06  3.80% $  9.67M
SN     $ 113.02 $ 106.21 $ 107.84  2.57% $  9.55M
IR     $  81.53 $  80.26 $  80.03  2.07% $  9.53M
NGD    $   9.10 $   6.44 $   8.18  5.71% $  9.23M
NUE    $ 165.48 $ 145.57 $ 161.15  2.08% $  9.17M
TOL    $ 139.52 $ 133.52 $ 138.76  2.59% $  9.13M
UL     $  65.98 $  61.31 $  62.42  2.51% $  9.08M
STLD   $ 175.36 $ 144.53 $ 169.82  2.07% $  9.04M
ILMN   $ 135.33 $ 107.76 $ 131.56  2.69% $  8.96M
INCY   $ 100.42 $  88.18 $ 100.17  3.16% $  8.92M
RVMD   $  81.14 $  51.94 $  77.97  3.07% $  8.90M
STT    $ 132.30 $ 115.38 $ 124.59  1.93% $  8.89M
KNX    $  53.58 $  44.79 $  50.62  2.38% $  8.78M
BHP    $  60.86 $  54.99 $  58.18  1.64% $  8.70M
UTHR   $ 514.77 $ 401.35 $ 492.94  1.86% $  8.69M
PL     $  20.30 $  10.89 $  15.15  7.45% $  8.67M
IVZ    $  27.19 $  22.66 $  25.81  2.52% $  8.65M
CASY   $ 568.42 $ 536.57 $ 558.34  2.25% $  8.63M
ZM     $  87.78 $  81.02 $  87.06  2.37% $  8.62M
WST    $ 277.66 $ 258.98 $ 273.80  2.15% $  8.47M
AU     $  89.89 $  66.97 $  84.80  3.49% $  8.46M
FHN    $  24.51 $  22.21 $  23.28  1.61% $  8.41M
WVE    $  18.26 $   8.93 $  13.39 13.39% $  8.38M
VSCO   $  54.28 $  30.67 $  48.85  5.14% $  8.37M
FCNCA  $2182.11 $1914.60 $2015.70  1.68% $  8.33M
