symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,hold_weeks,entry_rsi,backtest_days
ARM,2025-05-05 04:00:00+00:00,2025-05-12 04:00:00+00:00,121.2,136.06,41,609.06,MeanRev,1.0,34.3,1095
MSFT,2025-03-03 05:00:00+00:00,2025-03-31 04:00:00+00:00,398.24,361.0,12,-446.81,SL,3.9,42.4,1095
MSFT,2025-04-07 04:00:00+00:00,2025-04-21 04:00:00+00:00,350.36,391.81,14,580.3,MeanRev,2.0,22.0,1095
GOOGL,2024-09-02 04:00:00+00:00,2024-09-23 04:00:00+00:00,161.71,163.9,30,65.7,MeanRev,3.0,39.0,1095
GOOGL,2025-03-17 04:00:00+00:00,2025-04-07 04:00:00+00:00,165.26,141.87,30,-701.82,SL,3.0,44.0,1095
GOOGL,2025-04-14 04:00:00+00:00,2025-04-28 04:00:00+00:00,160.05,164.02,31,123.07,MeanRev,2.0,30.4,1095
GOOGL,2025-05-05 04:00:00+00:00,2025-05-12 04:00:00+00:00,163.0,166.21,30,96.3,MeanRev,1.0,31.7,1095
NFLX,2023-09-25 04:00:00+00:00,2023-10-16 04:00:00+00:00,382.99,400.94,13,233.35,MeanRev,3.0,35.7,1095
NFLX,2025-10-06 04:00:00+00:00,2025-11-17 05:00:00+00:00,1160.3,1040.44,4,-479.42,SL,6.0,32.5,1095
ADBE,2023-05-15 04:00:00+00:00,2023-05-22 04:00:00+00:00,337.07,415.57,14,1099.0,MeanRev,1.0,39.2,1095
ADBE,2024-02-19 05:00:00+00:00,2024-05-27 04:00:00+00:00,530.53,458.84,9,-645.29,SL,13.9,40.3,1095
ADBE,2024-06-03 04:00:00+00:00,2024-06-10 04:00:00+00:00,448.08,525.37,11,850.14,MeanRev,1.0,24.3,1095
ADBE,2024-10-14 04:00:00+00:00,2024-11-18 05:00:00+00:00,501.5,512.15,9,95.85,MeanRev,5.0,26.8,1095
ADBE,2024-12-16 05:00:00+00:00,2025-02-10 05:00:00+00:00,467.06,460.16,10,-69.05,MeanRev,8.0,29.4,1095
ADBE,2025-02-24 05:00:00+00:00,2025-03-03 05:00:00+00:00,445.25,449.54,11,47.08,MeanRev,1.0,39.3,1095
ADBE,2025-03-17 04:00:00+00:00,2025-04-07 04:00:00+00:00,394.12,340.81,12,-639.71,SL,3.0,23.4,1095
ADBE,2025-04-14 04:00:00+00:00,2025-05-12 04:00:00+00:00,361.19,417.2,13,728.06,MeanRev,4.0,32.4,1095
ADBE,2025-08-04 04:00:00+00:00,2025-09-15 04:00:00+00:00,350.4,365.92,14,217.28,MeanRev,6.0,44.1,1095
ADBE,2025-10-06 04:00:00+00:00,2025-10-20 04:00:00+00:00,347.57,353.41,14,81.76,MeanRev,2.0,35.0,1095
ADBE,2025-11-10 05:00:00+00:00,2025-12-01 05:00:00+00:00,328.39,346.3,15,268.73,MeanRev,3.0,42.4,1095
INTC,2024-04-08 04:00:00+00:00,2024-04-22 04:00:00+00:00,38.62,32.4,100,-622.1,SL,2.0,22.6,1095
INTC,2024-04-29 04:00:00+00:00,2024-07-08 04:00:00+00:00,31.82,34.48,100,265.5,MeanRev,10.0,15.2,1095
INTC,2024-07-29 04:00:00+00:00,2024-08-05 04:00:00+00:00,31.39,27.25,100,-414.6,SL,1.0,40.9,1095
INTC,2024-08-12 04:00:00+00:00,2024-09-23 04:00:00+00:00,19.87,23.9,100,403.0,MeanRev,6.0,26.5,1095
INTC,2024-09-30 04:00:00+00:00,2024-10-07 04:00:00+00:00,23.73,23.57,100,-16.0,MeanRev,1.0,37.9,1095
INTC,2024-10-14 04:00:00+00:00,2024-10-28 04:00:00+00:00,23.57,23.2,100,-37.5,MeanRev,2.0,36.3,1095
INTC,2024-11-04 05:00:00+00:00,2024-11-11 05:00:00+00:00,22.93,24.35,100,142.5,MeanRev,1.0,34.6,1095
INTC,2025-01-06 05:00:00+00:00,2025-01-13 05:00:00+00:00,20.82,21.49,100,66.5,MeanRev,1.0,38.7,1095
INTC,2025-01-27 05:00:00+00:00,2025-02-10 05:00:00+00:00,20.8,23.59,100,279.0,MeanRev,2.0,44.0,1095
INTC,2025-03-10 04:00:00+00:00,2025-03-17 04:00:00+00:00,20.22,24.25,100,403.0,MeanRev,1.0,42.1,1095
INTC,2025-05-26 04:00:00+00:00,2025-06-16 04:00:00+00:00,20.44,21.07,100,63.0,MeanRev,3.0,40.6,1095
QCOM,2023-05-08 04:00:00+00:00,2023-05-29 04:00:00+00:00,108.26,115.61,46,338.1,MeanRev,3.0,26.7,1095
QCOM,2023-09-11 04:00:00+00:00,2023-10-30 04:00:00+00:00,111.28,119.58,44,365.2,MeanRev,7.0,43.5,1095
QCOM,2024-08-12 04:00:00+00:00,2024-11-04 05:00:00+00:00,160.82,170.94,31,313.57,MeanRev,12.0,43.8,1095
QCOM,2024-11-25 05:00:00+00:00,2025-01-13 05:00:00+00:00,158.94,164.58,31,175.0,MeanRev,7.0,37.3,1095
QCOM,2025-04-07 04:00:00+00:00,2025-05-12 04:00:00+00:00,124.15,152.52,40,1135.0,MeanRev,5.0,31.3,1095
QCOM,2025-05-26 04:00:00+00:00,2025-06-02 04:00:00+00:00,147.23,149.23,33,66.0,MeanRev,1.0,37.6,1095
TXN,2023-05-15 04:00:00+00:00,2023-05-22 04:00:00+00:00,161.52,176.28,30,442.8,MeanRev,1.0,34.1,1095
TXN,2023-09-18 04:00:00+00:00,2023-10-23 04:00:00+00:00,161.89,145.79,30,-483.03,SL,5.0,44.4,1095
TXN,2023-10-30 04:00:00+00:00,2023-11-13 05:00:00+00:00,140.93,154.62,35,478.98,MeanRev,2.0,7.3,1095
TXN,2023-11-20 05:00:00+00:00,2023-11-27 05:00:00+00:00,154.09,155.24,32,36.48,MeanRev,1.0,37.7,1095
TXN,2024-12-23 05:00:00+00:00,2025-02-17 05:00:00+00:00,187.02,201.99,26,389.22,MeanRev,8.0,42.9,1095
TXN,2025-03-17 04:00:00+00:00,2025-04-07 04:00:00+00:00,176.01,150.35,28,-718.51,SL,3.0,38.7,1095
TXN,2025-04-14 04:00:00+00:00,2025-05-05 04:00:00+00:00,150.93,172.28,33,704.71,MeanRev,3.0,27.8,1095
TXN,2025-09-22 04:00:00+00:00,2025-12-01 05:00:00+00:00,179.63,182.66,27,81.68,MeanRev,10.0,43.4,1095
MU,2024-08-05 04:00:00+00:00,2024-09-23 04:00:00+00:00,87.39,107.5,57,1145.99,MeanRev,7.0,37.5,1095
MU,2024-09-30 04:00:00+00:00,2024-10-07 04:00:00+00:00,106.08,106.87,47,37.13,MeanRev,1.0,35.4,1095
MU,2025-01-06 05:00:00+00:00,2025-01-13 05:00:00+00:00,95.56,105.8,52,532.22,MeanRev,1.0,39.5,1095
MU,2025-02-03 05:00:00+00:00,2025-02-10 05:00:00+00:00,88.65,99.52,56,609.0,MeanRev,1.0,41.4,1095
MU,2025-03-03 05:00:00+00:00,2025-03-10 04:00:00+00:00,95.81,100.73,52,256.1,MeanRev,0.9,43.5,1095
MU,2025-04-07 04:00:00+00:00,2025-05-05 04:00:00+00:00,63.93,85.88,78,1711.71,MeanRev,4.0,36.8,1095
TSM,2023-05-15 04:00:00+00:00,2023-05-22 04:00:00+00:00,83.31,103.2,60,1192.8,MeanRev,1.0,30.8,1095
TSM,2023-09-11 04:00:00+00:00,2023-10-16 04:00:00+00:00,90.17,91.3,55,62.15,MeanRev,5.0,38.9,1095
TSM,2023-10-30 04:00:00+00:00,2023-11-06 05:00:00+00:00,87.37,97.45,57,574.56,MeanRev,1.0,33.3,1095
TSM,2025-03-17 04:00:00+00:00,2025-04-07 04:00:00+00:00,173.95,138.88,28,-982.1,SL,3.0,31.6,1095
TSM,2025-04-14 04:00:00+00:00,2025-04-28 04:00:00+00:00,158.3,179.28,31,650.53,MeanRev,2.0,25.3,1095
TSM,2025-05-12 04:00:00+00:00,2025-05-19 04:00:00+00:00,187.29,192.02,26,122.85,MeanRev,1.0,35.7,1095
WDC,2023-05-01 04:00:00+00:00,2023-05-15 04:00:00+00:00,34.49,38.33,100,383.5,MeanRev,2.0,41.9,1095
