symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
BURL,15M_STK,298.34,2.41,14.22,275.88,True,True
UAL,15M_STK,113.02,2.4,20.36,110.31,True,True
RRX,15M_STK,146.04,2.39,5.96,145.12,True,True
HAL,15M_STK,29.59,2.38,17.05,28.25,True,True
CMCSA,15M_STK,29.54,2.37,52.99,28.79,True,True
LUV,15M_STK,41.31,2.37,30.82,40.5,True,True
IBKR,15M_STK,67.25,2.36,10.41,65.0,True,True
BABA,15M_STK,155.73,2.36,40.42,152.38,True,True
CMG,15M_STK,37.48,2.36,39.61,36.22,True,True
PINS,15M_STK,26.58,2.36,23.41,26.39,True,True
LYB,15M_STK,44.39,2.36,8.4,43.48,True,True
ILMN,15M_STK,134.38,2.35,7.55,133.05,True,True
DRI,15M_STK,187.23,2.34,15.44,184.92,True,True
INCY,15M_STK,101.47,2.31,8.08,98.77,True,True
COP,15M_STK,96.72,2.31,32.77,93.65,True,True
URI,15M_STK,844.93,2.31,23.93,812.75,True,True
HII,15M_STK,349.85,2.3,7.93,332.86,True,True
RGEN,15M_STK,164.37,2.27,5.13,162.79,True,True
CAT,15M_STK,598.37,2.26,56.66,588.72,True,True
SLB,15M_STK,40.21,2.26,31.22,38.58,True,True
OXY,15M_STK,42.38,2.25,16.67,40.83,True,True
FTI,15M_STK,47.32,2.25,7.42,45.33,True,True
EME,15M_STK,637.8,2.23,10.26,622.98,True,True
DECK,15M_STK,106.79,2.22,11.19,101.87,True,True
ELAN,15M_STK,22.51,2.22,6.57,22.03,True,True
HWM,15M_STK,211.66,2.21,15.73,200.92,True,True
HALO,15M_STK,70.31,2.2,7.24,65.6,True,True
LKQ,15M_STK,30.04,2.18,6.03,30.02,True,True
NTR,15M_STK,63.16,2.17,8.79,61.73,True,True
HEI,15M_STK,329.26,2.17,7.24,320.11,True,True
CG,15M_STK,60.85,2.15,6.45,59.13,True,True
EL,15M_STK,106.75,2.14,13.58,105.67,True,True
GE,15M_STK,320.83,2.13,52.26,301.76,True,True
WBD,15M_STK,28.51,2.1,91.18,28.42,True,True
TECH,15M_STK,59.65,2.1,5.27,59.3,True,True
DG,15M_STK,136.81,2.1,23.39,133.28,True,True
WSO,15M_STK,347.38,2.1,8.3,346.89,True,True
STM,15M_STK,27.39,2.1,7.06,26.07,True,True
BLD,15M_STK,431.7,2.07,6.21,430.27,True,True
FLUT,15M_STK,218.26,2.07,16.86,218.12,True,True
CHTR,15M_STK,209.21,2.06,12.07,207.61,True,True
BKR,15M_STK,47.14,2.05,14.61,46.45,True,True
TXRH,15M_STK,171.28,2.05,6.0,168.85,True,True
FIVE,15M_STK,193.33,2.04,11.25,182.33,True,True
AYI,15M_STK,373.01,2.04,5.23,367.2,True,True
CW,15M_STK,572.58,2.04,5.13,554.49,True,True
SN,15M_STK,113.86,2.04,8.18,112.71,True,True
UNH,15M_STK,336.46,2.03,45.5,330.89,True,True
CNQ,15M_STK,34.33,2.02,13.34,33.1,True,True
HUBB,15M_STK,462.7,2.01,12.09,446.5,True,True
EOG,15M_STK,107.28,2.0,15.18,106.39,True,True
C,15M_STK,118.68,1.99,57.96,114.15,True,True
VIK,15M_STK,72.26,1.99,5.65,70.63,True,True
GOOGL,15M_STK,315.24,1.98,254.12,312.02,True,True
WWD,15M_STK,310.61,1.98,8.19,301.8,True,True
CTRA,15M_STK,26.61,1.98,9.82,26.25,True,True
STLD,15M_STK,176.03,1.97,8.49,171.69,True,True
H,15M_STK,165.55,1.97,7.32,161.65,True,True
ATI,15M_STK,119.22,1.97,9.58,110.21,True,True
