period,model,param,value,is_frozen_value,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,sens_trigger_volume=1.2,trigger_volume,1.2,False,1414,0.33663366336633666,0.06230164737610071,-0.02744252032476529,-0.014266411540051316,0.002768387614140096,1.6370726582416464,1.1520720757744973,3.9145000863940957,0.05969737142253478,10.743988684582744,0.055585571260793686,-0.02480670741032307,0.050122714382518564,0.7334581276606105,0.003770752162274213,3715,-0.0005631097696988468,50000.0,70231.47763547038,0.4046295527094077,0.11953453531138887,-0.2384616241682802,0.18831601108905494,0.13620257971698113,0.6941375696764017,0.9638090382819998,0.5158936962136812,0.8672829308183818,53976.3955068858,83554.960374,4.696649029982363,7.666666666666667,324.3333333333333,3728.0
dev,sens_trigger_volume=1.5,trigger_volume,1.5,False,888,0.34684684684684686,0.06216880032515549,-0.028660750060568098,-0.014282509555635647,0.0028431930912369355,1.3258805491856798,1.1518811145774506,2.5247554650183988,0.0662423254157452,11.186936936936936,0.05677181126345955,-0.025897097466599985,0.052178089864878215,0.729771034902422,0.0071292141368389786,1531,0.0027953522048659186,50000.0,63366.44900729486,0.2673289801458973,0.08096580220460632,-0.27212309611869173,0.17756162891010832,0.12818227272150653,0.5211860219564025,0.725771922344787,0.30673485061879086,0.777848918212702,44412.16658602337,72926.80560533334,4.117724867724868,7.666666666666667,282.6666666666667,1538.0
dev,sens_strong_close_clv(added)=0.7,strong_close_clv(added),0.7,False,2034,0.32890855457227136,0.06413926866568229,-0.025674381702899964,-0.012213912157765128,0.0038660962206897753,2.6511419048488065,1.2243835228918325,7.863639712883003,0.07971976452933678,10.5929203539823,0.0549807613299105,-0.02378417756417271,0.04855243686431781,0.7270605776137086,0.0031051837826489843,7138,-0.0012286781493240756,50000.0,65705.45567786689,0.31410911355733795,0.09506620053486843,-0.1908544259370134,0.19455391603477948,0.1418887778671461,0.5629953435381487,0.7712684227990713,0.49851208920791185,0.8919423205230462,52905.23114107848,71184.83377999999,5.01058201058201,9.333333333333334,330.6666666666667,7174.0
dev,sens_strong_close_clv(added)=0.75,strong_close_clv(added),0.75,False,1948,0.3259753593429158,0.0650701319514467,-0.026249118674204163,-0.012745043280482649,0.0035187068634181667,2.334551380862158,1.1988806763379467,6.854440969938588,0.06815505283003133,10.68429158110883,0.05522099500785839,-0.024234842656426447,0.049126398552360735,0.7319210424997359,0.0030530179030003896,6249,-0.0012808440289726703,50000.0,68845.08753866219,0.3769017507732439,0.10903692371764702,-0.20215693468340035,0.19795262517058254,0.14326585197772265,0.605530714009888,0.8394055192221058,0.533273499960187,0.8838163585518849,56250.187642246914,77678.11117933334,4.89373897707231,9.0,322.0,6283.0
dev,sens_strong_close_clv(added)=0.8,strong_close_clv(added),0.8,False,1837,0.31790963527490473,0.06441123201785973,-0.026571783323444585,-0.013679246988567817,0.0023525938999205314,1.5385802585385282,1.1298028862923053,4.321714994154016,0.03989823418436964,10.71801850843767,0.05473172315424852,-0.024650666865501495,0.04967834002515346,0.7522555009796211,0.0026884401428097626,5202,-0.0016454217891632974,50000.0,71411.67950954981,0.42823359019099616,0.12280713089229016,-0.19914448555852646,0.1943956392488488,0.1406900896946354,0.6886394380634872,0.9566433459595584,0.6335390881205946,0.8771986245858976,55318.38837111331,76442.49480466667,4.937830687830688,9.666666666666666,315.0,5228.0
dev,sens_extension_cap=None,extension_cap,None,True,2542,0.3233674272226593,0.06063118540913508,-0.023709492600490514,-0.010974215597198855,0.0035635354576968314,2.835080073997305,1.2221293388073804,9.058507133465346,0.06760355787292334,9.53147128245476,0.051016931013185704,-0.02270472886895244,0.045853584828242186,0.7096608615394654,0.0031296146744548585,19532,-0.0012042472575182015,50000.0,88298.25147849729,0.7659650295699457,0.20505549568824954,-0.2431850014294871,0.20194140648714443,0.14544552141690095,1.0162080931379947,1.418745233328461,0.873446111592882,0.9335708872636942,67960.07345974163,100807.24986033332,5.265432098765433,10.0,372.3333333333333,19646.0
dev,sens_extension_cap=0.03,extension_cap,0.03,False,2416,0.3211920529801324,0.05484434893950726,-0.02172580481666566,-0.010545021176846803,0.0028679200652839253,2.3862390571523604,1.1944662550687881,6.928894877725964,0.04893309850290092,8.827814569536423,0.047150046198288054,-0.021064034063587766,0.04269826301077754,0.719104691615694,0.0015825118923311532,12904,-0.0027513500396419066,50000.0,80440.69293864678,0.6088138587729357,0.17197683365264135,-0.2014386265194372,0.19373863927454496,0.13933201707004986,0.9149851974262567,1.2720021286271195,0.855803100612485,0.9232824371130087,63126.6264280022,85583.22362733334,5.161375661375661,10.0,401.0,13005.0
dev,sens_extension_cap=0.05,extension_cap,0.05,False,2500,0.3244,0.05884669101922846,-0.022896504088305743,-0.010816830708881509,0.0036209884045783525,2.90944100775475,1.2340821594586981,9.052471011445881,0.06768985808016598,9.3324,0.04969168679816041,-0.022087567039640238,0.044583377346566554,0.7076927615427013,0.0024538475790871535,17295,-0.0018800143528859064,50000.0,80437.3896205862,0.608747792411724,0.17134122245525693,-0.21685476350010838,0.19993014658241673,0.14499288179490574,0.8893745925069058,1.228530491759007,0.8029305093460107,0.9294833169051384,64257.14143259392,85061.55810466666,5.291005291005291,9.666666666666666,398.0,17408.0
dev,sens_extension_cap=0.07,extension_cap,0.07,False,2523,0.3234244946492271,0.06032445198297134,-0.02336664932461305,-0.010894883845064984,0.0037011028224297,2.927648792779479,1.2341091774817625,9.337882420990132,0.07010999197986977,9.486325802615934,0.05062103757987704,-0.02248858608188196,0.04533995249460788,0.7082464657668183,0.0029806954869547957,18686,-0.0013531664450182643,50000.0,83003.93053112764,0.6600786106225528,0.1837995065376299,-0.22782791880787379,0.20046502350386117,0.1454821449632601,0.9401285894383477,1.2971492789024264,0.8226736625940078,0.9324422486336007,66826.19739764197,92838.81460266667,5.432098765432099,10.0,385.3333333333333,18799.0
dev,sens_extension_cap_atr=1.0,extension_cap_atr,1.0,False,2392,0.3181438127090301,0.05315852646288354,-0.02168045216837438,-0.010263657863199493,0.0021291058326236446,1.7932952402916587,1.1440244178054708,5.092821151635758,0.02162373212596308,8.411371237458194,0.04658634664840547,-0.02145665165235399,0.0431631588073819,0.7298966364550309,0.004002420002795426,9536,-0.00033144192917763417,50000.0,80548.55236335828,0.6109710472671657,0.1722937877748095,-0.20238536306417496,0.20164279353173664,0.1454969826078826,0.8874858393407897,1.2306427546682404,0.8572764567082775,0.9302016101442292,65220.92764665477,85705.15661333333,5.146825396825396,10.0,446.6666666666667,9631.0
dev,sens_extension_cap_atr=1.5,extension_cap_atr,1.5,False,2484,0.322061191626409,0.05863743766276592,-0.02310261572562717,-0.010842276395050365,0.0032226832722450035,2.598414554333587,1.205762380059367,8.00514524825659,0.057816637976667036,9.198067632850242,0.04971917792615216,-0.02234008756665637,0.04498298158436902,0.7148200167614116,0.003572938168569013,14140,-0.0007609237634040472,50000.0,82137.08633915435,0.6427417267830873,0.1785652258815881,-0.226512800912126,0.20063395577267454,0.14439623746798172,0.9142869460862287,1.2725719470788697,0.799118425190411,0.9331933262819128,63715.538307544084,89184.966192,5.115079365079365,10.0,402.3333333333333,14246.0
dev,sens_extension_cap_atr=2.0,extension_cap_atr,2.0,False,2523,0.32382084819659135,0.05979697095155965,-0.023480359826207955,-0.010935557148181507,0.0034865760617968505,2.7856060623652543,1.219600143580787,8.796631403913453,0.06610758914928073,9.42806183115339,0.05051267323928827,-0.022539775461330198,0.04542014932921779,0.7106369859977427,0.003160328815216343,17133,-0.0011735331167567172,50000.0,76887.22497913048,0.5377444995826096,0.15360308949955845,-0.237179425315015,0.20341877380324594,0.14862134393553303,0.8027084789070379,1.1008742893675267,0.6584625351210237,0.9344148312101327,63869.63110975793,87680.96819099999,5.24647266313933,10.0,389.3333333333333,17246.0
oos,sens_pullback_dist=0.01,pullback_dist,0.01,False,3107,0.3118764081107177,0.07054808173213425,-0.023460156407793854,-0.011633893973592158,0.005858795236103903,4.08787766292579,1.3629200557555488,18.203276798574827,0.12694023597185972,9.747022851625362,0.05362130763387531,-0.022151649897344704,0.045608546558154855,0.6898982758911656,0.004096949734644601,20031,-0.0025059624555774963,50000.0,60254.93117756382,0.20509862355127648,0.04982774701090823,-0.22840949295187618,0.16380220270785248,0.11438192247393698,0.3766147142787954,0.5427867700585772,0.2111991300639736,0.967357170053606,56977.31327123998,69442.985326,5.104434907010014,7.666666666666667,488.3333333333333,20216.0
oos,sens_pullback_dist=0.02,pullback_dist,0.02,True,3131,0.3129990418396678,0.07071348931396135,-0.023535334905708572,-0.011822166272870138,0.005964456769563391,4.175167943508363,1.368886846489109,18.67471414550298,0.13094512200766958,9.855956563398275,0.054021052599992465,-0.02218930162738362,0.04578505884911804,0.691067721411447,0.004223599632234519,24562,-0.0023793125579875786,50000.0,86997.78012450108,0.7399556024900216,0.15380087700401565,-0.1879669818835141,0.1812819457956216,0.12216638013856622,0.8646948595754432,1.2909777956512412,0.8070498071481209,0.966195097613856,61373.4267874603,96535.47808300001,5.167739628040057,8.0,459.6666666666667,24767.0
oos,sens_pullback_dist=0.03,pullback_dist,0.03,False,3146,0.3156389065479975,0.07054141142408746,-0.023667073238249767,-0.011806358826789709,0.006068789848114141,4.256929885086637,1.3746901122775617,19.092412862167087,0.13366279631601571,9.913541004450096,0.054281711568411,-0.022209179423061446,0.045961195595976854,0.6884462870874848,0.004149179895634617,27586,-0.0024537322945874804,50000.0,68189.61206984878,0.3637922413969757,0.0861582073192156,-0.18690975424954617,0.17362257729663286,0.12032317374946243,0.5614599853727688,0.8123016136505354,0.46897825053707987,0.9679737426292531,57678.544546530036,80034.67771366668,5.280758226037196,7.666666666666667,443.6666666666667,27807.0
oos,sens_pullback_mode=touch(low<=EMA20<close),pullback_mode,touch(low<=EMA20<close),False,2247,0.30396083667111706,0.06062963576955587,-0.02056961423842858,-0.009743217725884157,0.004111777731065583,2.849561393298357,1.2871903261074424,9.239164561704364,0.10367816064896822,8.230974632843791,0.04653835492619604,-0.020034634619370818,0.04161475457314681,0.6942658444638722,0.0057258414548253655,4624,-0.000877070735396732,50000.0,59129.02294041434,0.1825804588082868,0.045128287274046754,-0.26361933066240056,0.16516025140253987,0.11576635826344243,0.34869798266343066,0.49932230328610633,0.19915864575050335,0.9507926648567033,53422.22121001859,70173.51911699999,4.989985693848355,8.333333333333334,581.3333333333334,4683.0
