model,period,feature,mean_winners,mean_losers,median_winners,median_losers,corr_with_return,q1_expectancy,q2_expectancy,q3_expectancy,q4_expectancy,q5_expectancy,q1_n,q2_n,q3_n,q4_n,q5_n,q5_minus_q1,dev_quintile_edges
FINAL,oos,reg_vix_pct,42.50850340136055,41.3023104794374,37.698412698412696,37.3015873015873,0.017529117134982838,0.0019987451095630176,0.009097731475772782,0.0062424825656220905,-0.0007643191413095391,0.01015222558431506,549.0,739.0,672.0,479.0,692.0,0.008153480474752043,8.333 / 28.17 / 52.78 / 72.22
FINAL,oos,reg_vix_roc5,-0.02112626419807782,-0.008596254655851048,-0.0315151515151514,-0.0128514056224899,-0.03356759101872274,0.015406676557524254,0.006232602036043305,0.006223378971343801,0.0003028732781615817,0.004522316304846159,582.0,528.0,508.0,850.0,663.0,-0.010884360252678095,-0.1282 / -0.06014 / -0.01273 / 0.08098
FINAL,oos,reg_pct_above_50,56.73556533054346,57.82692492525034,57.05263157894736,58.78661087866108,-0.03377527301849446,0.009824258426265798,0.005708995112359407,0.001879640290902823,0.004100981363416923,0.007462221095297441,802.0,1062.0,549.0,493.0,225.0,-0.002362037330968357,49.15 / 62.61 / 70.24 / 79.11
FINAL,oos,reg_pct_above_200,63.238620268216025,64.28191667270333,64.90334064660347,65.4471544715447,-0.06118058766283098,0.02303754118197424,0.003137977990530116,0.003250951767633112,-0.015356142254677,,451.0,1810.0,858.0,12.0,0.0,,52.57 / 71.77 / 83.44 / 90.55
FINAL,oos,reg_market_state=BEARISH,0.07653061224489796,0.06090190609019061,,,,,,,,,,,,,,,
FINAL,oos,reg_market_state=BULLISH,0.8918367346938776,0.909809390980939,,,,,,,,,,,,,,,
FINAL,oos,reg_market_state=MIXED,0.03163265306122449,0.029288702928870293,,,,,,,,,,,,,,,
FINAL,oos,reg_vol_regime=HIGH,0.004081632653061225,0.001394700139470014,,,,,,,,,,,,,,,
FINAL,oos,reg_vol_regime=LOW,0.3795918367346939,0.3877266387726639,,,,,,,,,,,,,,,
FINAL,oos,reg_vol_regime=NORMAL,0.49489795918367346,0.509530450953045,,,,,,,,,,,,,,,
FINAL,oos,reg_vol_regime=SHOCK,0.12142857142857143,0.10134821013482101,,,,,,,,,,,,,,,
FINAL,oos,reg_breadth_state=NEUTRAL,0.40714285714285714,0.38679683867968384,,,,,,,,,,,,,,,
FINAL,oos,reg_breadth_state=STRONG,0.43979591836734694,0.4746629474662947,,,,,,,,,,,,,,,
FINAL,oos,reg_breadth_state=WEAK,0.15306122448979592,0.13854021385402138,,,,,,,,,,,,,,,
A_full_hypothesis,dev,sig_atr_pct,0.02182564540094399,0.021630141764439656,0.020738661126758404,0.020022550740679462,0.019081434906831164,-0.003260681375886779,0.0047543520886659425,0.0040356533652701615,0.0003309264265716051,0.005246600665159616,151.0,151.0,151.0,151.0,151.0,0.008507282041046395,0.01537 / 0.01868 / 0.02216 / 0.02687
A_full_hypothesis,dev,sig_ext,0.02609724636639534,0.024573138967956182,0.026316929417337313,0.02526475607713732,0.05144786424697531,-0.0017976579970060214,0.0015873205099463286,0.002805450505710005,-0.0005459523778032475,0.009057690528933482,151.0,151.0,151.0,151.0,151.0,0.010855348525939505,0.0125 / 0.02151 / 0.02887 / 0.03737
A_full_hypothesis,dev,sig_ext_atr,1.2445185054753523,1.185463554434548,1.249548198056549,1.1995802977327297,0.0275948342612883,0.0018463768117683561,-0.0018267212760152036,0.0033310694919383584,0.0048631381630459426,0.0028929879790430923,151.0,151.0,151.0,151.0,151.0,0.0010466111672747362,0.5916 / 1.041 / 1.368 / 1.73
A_full_hypothesis,dev,sig_pb_depth,0.04514790227130157,0.0439755247823772,0.038582604052664546,0.03865887542220824,-0.002032186397382867,0.002220112846342158,0.001621368598011069,0.0026552728841714806,0.002540091236566208,0.0020700056046896315,151.0,151.0,151.0,151.0,151.0,-0.00015010724165252657,0.02692 / 0.03499 / 0.04378 / 0.05823
A_full_hypothesis,dev,sig_pb_depth_atr,2.0507060748118415,2.0313509729075054,1.9520727278832055,1.9751796671796256,-0.016368782662687906,0.00463308193822729,0.005716407356509259,0.0003066802025977663,-0.0012224986476885942,0.001673180320134825,151.0,151.0,151.0,151.0,151.0,-0.0029599016180924653,1.525 / 1.841 / 2.128 / 2.533
A_full_hypothesis,dev,sig_pb_vol_ratio,0.811543970057356,0.8108163068622029,0.8260677547030397,0.8258057844773983,0.006909433277037039,0.0012055974652894373,0.007794597158942661,-0.0011036257437420476,0.0004644587904378026,0.0027458234988526945,151.0,151.0,151.0,151.0,151.0,0.0015402260335632572,0.7083 / 0.7937 / 0.8533 / 0.926
A_full_hypothesis,dev,sig_range_atr,1.213184749094646,1.1722027206837944,1.1291484067958684,1.1146307055629137,0.05136220180321547,-0.004360982264151578,0.003755712750378869,0.002304781558334844,0.004405588441298068,0.005001750683920344,151.0,151.0,151.0,151.0,151.0,0.009362732948071922,0.841 / 1.03 / 1.219 / 1.517
A_full_hypothesis,dev,sig_clv,0.8587129994358071,0.8605879372652954,0.867848792312401,0.870688661981451,0.02503956244406753,-0.003210214586840391,0.009651768458122061,-0.001340232410902639,0.0001861210815904894,0.005819408627811025,151.0,151.0,151.0,151.0,151.0,0.009029623214651415,0.7746 / 0.8421 / 0.9011 / 0.9536
A_full_hypothesis,dev,sig_body_frac,0.5917058472527679,0.5536967011263179,0.6556662451716219,0.6271561135435906,0.06453140315997612,-0.0029787365594624955,-0.001628784289704943,0.005825305049936963,0.008969507524792558,0.0009195594442184647,151.0,151.0,151.0,151.0,151.0,0.00389829600368096,0.2763 / 0.5484 / 0.7014 / 0.8066
A_full_hypothesis,dev,sig_vol_ratio,1.2453156862155015,1.2734677068426703,1.1440998289982995,1.1632168653173731,-0.05340297922064337,0.004856943617706362,0.0033053297817114543,0.005182793905096802,0.0018230307734612052,-0.004061246908195278,151.0,151.0,151.0,151.0,151.0,-0.00891819052590164,1.039 / 1.113 / 1.21 / 1.398
A_full_hypothesis,dev,sig_ret_20d,0.0486844111009409,0.04391832345467865,0.04636434519745991,0.03910983680186764,0.0056170092671623635,-0.002448347220451782,0.0035091735615689094,0.00894488084099471,9.739780083185979e-05,0.0010037461868368492,151.0,151.0,151.0,151.0,151.0,0.003452093407288631,0.01561 / 0.03362 / 0.05099 / 0.07504
A_full_hypothesis,dev,reg_vix,21.25881157786885,20.73636018003914,21.54,20.57,0.08004835462739991,0.002750234065253414,-0.008226150588049791,-0.002052155876509673,0.008948871295580555,0.009649143415943431,150.0,150.0,153.0,145.0,157.0,0.006898909350690017,16.33 / 18.31 / 21.86 / 25.34
A_full_hypothesis,dev,reg_vix_pct,36.068826437678894,34.408877706333676,28.76984126984127,25.0,0.03386086754169728,4.430737540745736e-05,-0.00031566519794538076,0.0066542429173075185,-0.00036167197598165686,0.005193172302679573,145.0,156.0,149.0,154.0,151.0,0.005148864927272115,6.746 / 20.63 / 35.71 / 62.62
A_full_hypothesis,dev,reg_vix_roc5,-0.0021529788249436146,-0.02014862098608355,-0.02030549026248365,-0.0268772790246606,0.026283523621736183,0.001568970308037197,0.010339663687263771,-0.0062702055760248485,0.004335882307743668,0.0015898379164616854,151.0,148.0,154.0,144.0,158.0,2.086760842448846e-05,-0.1079 / -0.04725 / -0.009359 / 0.06671
A_full_hypothesis,dev,reg_pct_above_50,65.63629578376907,67.66484204363347,67.94001522214822,69.89247311827957,-0.04824470857238875,0.009146796556360803,0.0012401324134975226,-0.0023014964718483647,0.0023234439624745654,0.0007798871827379295,150.0,149.0,152.0,151.0,153.0,-0.008366909373622874,55.41 / 66.08 / 73.74 / 80.57
A_full_hypothesis,dev,reg_pct_above_200,72.93885402369847,74.75415955043184,82.08556149732621,81.68103448275862,-0.06568728129887261,0.011783874142368507,0.0007601217822497852,-0.005341260117034658,0.005775353797892974,-0.0018308319330517966,151.0,150.0,152.0,151.0,151.0,-0.013614706075420304,54.92 / 75.91 / 85.09 / 91.08
A_full_hypothesis,dev,reg_market_state=BEARISH,0.14344262295081966,0.12720156555772993,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_market_state=BULLISH,0.8114754098360656,0.8101761252446184,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_market_state=MIXED,0.045081967213114756,0.06262230919765166,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_vol_regime=HIGH,0.1557377049180328,0.16829745596868884,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_vol_regime=LOW,0.45491803278688525,0.5009784735812133,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_vol_regime=NORMAL,0.29098360655737704,0.273972602739726,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_vol_regime=SHOCK,0.09836065573770492,0.05675146771037182,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_breadth_state=NEUTRAL,0.19672131147540983,0.19569471624266144,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_breadth_state=STRONG,0.6885245901639344,0.7397260273972602,,,,,,,,,,,,,,,
A_full_hypothesis,dev,reg_breadth_state=WEAK,0.11475409836065574,0.06457925636007827,,,,,,,,,,,,,,,
