period,model,dimension,value,share_of_days,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,sig_fwd10,all_days_fwd10
dev,A_full_hypothesis,vol_regime,SHOCK,0.17592592592592593,53,0.4528301886792453,0.07134341392009695,-0.02777449812747161,-0.007898557879039148,0.0171090846865217,1.7781297941792298,2.1257926981148487,0.9067814883856502,0.5039930785061592,12.358490566037736,0.07732360846253213,-0.023665065989989725,0.058886498157535515,0.5912106056072798,0.011211635305359744,0.009838157319750853
dev,A_full_hypothesis,vix_state2,VIX high/shock,0.42724867724867727,177,0.3502824858757062,0.07180849642278327,-0.027163264848856564,-0.015328694281023236,0.007504809720870383,1.519136927876395,1.425239054028154,1.3283513205940578,0.15786011505462666,11.05084745762712,0.0629305622991067,-0.02470631135775011,0.05382673832192482,0.6808164622356903,0.006911917623826507,0.011802102557821489
dev,A_full_hypothesis,vix_state2,VIX low/normal,0.5727513227513228,578,0.314878892733564,0.053296089706576386,-0.02361390181958106,-0.014724809094230296,0.0006034311523231915,0.2808895231533719,1.037298608190829,0.34878320604280466,0.02162187369272678,10.889273356401384,0.047624134612447896,-0.021317212206541286,0.04388914967102805,0.8017112514159812,0.0023261544255415616,-0.0013823506797545294
dev,A_full_hypothesis,vix_level_bucket,15-20,0.2605820105820106,295,0.2983050847457627,0.05378505385067609,-0.02416955943020016,-0.01786079181411593,-0.0009153019091252113,-0.3139564985391688,0.9460306354371371,-0.2700140631919373,-0.03562799696008983,10.661016949152541,0.04299764586375828,-0.021292160596250963,0.04102810033052561,0.7974148509996347,0.00013176444092332675,-0.00288290326769832
dev,A_full_hypothesis,vix_level_bucket,20-25,0.30687830687830686,235,0.3191489361702128,0.05578834960830745,-0.023939788182004797,-0.013662230338073011,0.0015053621766054905,0.4163714574969275,1.0923567359944855,0.35376011150229025,0.03556073688436262,10.442553191489361,0.05093877269855499,-0.022867030178109805,0.04735926540681679,0.7729499670657441,0.005857701343589186,0.0030461092287745006
dev,A_full_hypothesis,vix_level_bucket,25-30,0.2261904761904762,114,0.34210526315789475,0.06082694520538874,-0.026794822703408834,-0.01580359167625711,0.0031810452653903355,0.5728702152787122,1.180452352938248,0.36263916025449827,0.040235480406732485,11.070175438596491,0.05699708710025761,-0.024799051671214458,0.05093164026321342,0.7624471844294471,0.0053389336934556815,0.005325759094696988
dev,A_full_hypothesis,vix_level_bucket,<15,0.0291005291005291,65,0.35384615384615387,0.04070303115324981,-0.01948216870517533,-0.007471242084399865,0.0018141327831904884,0.37294424655164543,1.1441105706794303,0.11791863090738175,0.138322455189603,12.415384615384616,0.051939376826695846,-0.015644775529820992,0.0441732776513784,0.9017415033683667,0.0010374636684846493,-0.026477178521019506
dev,A_full_hypothesis,vix_level_bucket,>=30,0.17724867724867724,46,0.41304347826086957,0.10138860872589499,-0.030131588097310195,-0.005410523132835021,0.024191971460100638,1.9189888790115568,2.3678652198271304,1.1128306871646294,0.6307470639298822,12.652173913043478,0.08993075643050115,-0.025987478217303902,0.0630730822452073,0.5567758172439461,0.012061967013495016,0.02086016466989983
dev,A_full_hypothesis,vix_pct_bucket,25-50,0.17857142857142858,140,0.35,0.06596595373739604,-0.02120422791108811,-0.00984898799067463,0.009305335665881341,1.7325675806098388,1.6751437064561434,1.3027469932233877,0.21488206791774034,11.442857142857143,0.05730845291710801,-0.019271423877293976,0.04642207229921216,0.6636278418470105,0.003603736678452773,0.0006905828807899864
dev,A_full_hypothesis,vix_pct_bucket,50-75,0.2619047619047619,135,0.34074074074074073,0.0552971999553557,-0.029133119441490538,-0.018929315895787835,-0.0003642698692318139,-0.07158398192128543,0.9810338132593063,-0.049176432346294874,-0.057914415341251045,10.451851851851853,0.05842750016178871,-0.025778825089761426,0.058533759671550674,0.8234787959016623,0.0061485596336221205,-0.00029238673347860885
dev,A_full_hypothesis,vix_pct_bucket,75-90,0.15873015873015872,77,0.2727272727272727,0.07500244174627199,-0.02575375343804867,-0.016853648773885843,0.0017252088849478724,0.24283827430846697,1.09210937825081,0.13284108414098617,-0.06491491311923453,9.753246753246753,0.051722597605817835,-0.023899629784624867,0.047532062645596215,0.7202626503916003,0.002189866663954512,0.015065152979454089
dev,A_full_hypothesis,vix_pct_bucket,<25,0.26322751322751325,368,0.3016304347826087,0.04896380380191128,-0.023238956583257187,-0.016711931265611935,-0.0014604065757743078,-0.6255522815575983,0.9100146416369315,-0.5374296198849453,-0.0062434598367937305,10.86413043478261,0.04228665399365184,-0.02115500830009937,0.03967260040867176,0.8413480136004742,0.0015624343220809165,0.004318765926101796
dev,A_full_hypothesis,vix_pct_bucket,>=90,0.13756613756613756,35,0.4857142857142857,0.08035168676746067,-0.029879231863505704,-0.004378245646254331,0.02366150004296368,1.757708294962923,2.5398144274905925,0.8281525015037288,0.7277051843363254,13.942857142857143,0.09172670621109497,-0.025454585368885722,0.0636221307703553,0.6011310579156868,0.012843297219982081,0.005411155027543091
dev,A_full_hypothesis,vix_roc_bucket,+10..25%,0.14153439153439154,99,0.35353535353535354,0.046953671038917524,-0.024723507078109337,-0.016927996181733462,0.0006169094279102593,0.1366948952867617,1.0385981555239638,0.061074033363115676,0.005340838470810557,9.747474747474747,0.05366393686518931,-0.02042726814939645,0.05071499334474244,0.7800144506937108,0.0011087904614289564,-0.0008374977226720685
dev,A_full_hypothesis,vix_roc_bucket,-10..0%,0.3478835978835979,308,0.3051948051948052,0.0566595868524878,-0.02453642261597403,-0.0152775137546729,0.00024417767634873656,0.08197269289844954,1.0143229229743014,0.07520672431541087,0.0027943515268845946,10.75974025974026,0.04937245494978405,-0.022713151168392356,0.04543390386362834,0.8195012194927239,1.799660621112809e-05,0.005181310856600485
dev,A_full_hypothesis,vix_roc_bucket,0..+10%,0.2156084656084656,160,0.34375,0.05630855864219331,-0.022852477699323887,-0.012628962090105444,0.0043591285430726505,0.9309407016505948,1.2906678950458208,0.6974605668916241,0.05893484514267409,10.40625,0.04955159797804097,-0.02083317549847378,0.04179311567844485,0.7345584854665236,0.008120821409933492,0.0065953715320600905
dev,A_full_hypothesis,vix_roc_bucket,<-10%,0.21164021164021163,166,0.30120481927710846,0.07022634754414911,-0.025391589754549273,-0.014257241442033719,0.003408993769155061,0.7085280640941098,1.1921261205906235,0.5658929656797401,0.14555180322361577,12.536144578313253,0.05354617923667107,-0.023314361537207152,0.04910559162388767,0.737192696967712,0.005061743795782205,0.008242500952680035
dev,A_full_hypothesis,vix_roc_bucket,>=+25%,0.08333333333333333,22,0.45454545454545453,0.05743473517854101,-0.024737259616536528,-0.01204021030710245,0.012613647108498716,1.0059021712872593,1.9348254437793726,0.27750023638697174,0.2480957055557373,10.227272727272727,0.06041327404434484,-0.021496525641606645,0.04503598558681559,0.49231438535641137,0.0071944262002206,-0.005934813972216253
dev,A_full_hypothesis,vix_vs_sma,VIX<=SMA20,0.5701058201058201,500,0.324,0.05796680750129638,-0.025013412399640108,-0.016133412482260356,0.0018721788482633172,0.7605141788270928,1.110720412449901,0.9360894241316586,0.05402198500204668,11.426,0.051601019113743915,-0.022614722686212452,0.04673166725326486,0.7863590726326648,0.0030558602816171936,0.007777011383267432
