period,model,risk_per_trade,cost_bps,gate,exit,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals,pf_min_sharpe,pf_max_sharpe,tr_trades,tr_win_rate,tr_avg_win,tr_avg_loss,tr_median_ret,tr_expectancy,tr_t_stat,tr_profit_factor,tr_sum_ret,tr_avg_R,tr_avg_hold,tr_avg_mfe,tr_avg_mae,tr_avg_giveback_pp,tr_giveback_pct_of_peak
dev,BENCH_SPY_buy_hold,,,,,50000.0,61996.832754951385,0.23993665509902762,0.0744419786563213,-0.33717276769065485,0.24985987187193318,0.18075583564951125,0.4124729588603712,0.5701638361005701,0.22078289170915313,1.0,,,,,,,,,,,,,,,,,,,,,,,
dev,BENCH_QQQ_buy_hold,,,,,50000.0,63215.77480510827,0.2643154961021654,0.08144921767515512,-0.3511871982307829,0.2967015111278933,0.21321535530035263,0.41241381229350893,0.5738976967448135,0.2319253608488049,1.0,,,,,,,,,,,,,,,,,,,,,,,
dev,BENCH_EW_universe_buy_hold,,,,,50000.0,65402.32960962833,0.3080465921925666,0.09379665121394654,-0.3407993259599037,0.2552566575309538,0.1838765705041687,0.47902915754347913,0.6649861985088799,0.2752254598795247,1.0,,,,,,,,,,,,,,,,,,,,,,,
oos,FINAL,0.005,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,69968.29810096667,0.3993659620193334,0.09215638593036848,-0.16306210317911426,0.1498760891323425,0.10326039474310614,0.6574027532907094,0.9588095978071735,0.5972696630695882,0.9647113047232025,57903.73364363477,76427.57868349999,8.164377682403433,12.7,730.9,24767.0,0.31549768301513925,1.067659551565509,730.9,0.31208099603228895,0.07252516695500776,-0.02496148169041855,-0.012977660305225514,0.005462248718695888,5.9464975863140435,1.3181000982517561,39.92357588494824,0.11834744209695804,10.410726501573402,0.05535899406855838,-0.02328905210278964,0.04742522534894104,0.7043072733907442
oos,FINAL,0.01,0.0,none,B_close<EMA20|stop=atr1.5,50000.0,80100.25180216,0.6020050360431998,0.12992872752205453,-0.18332144678384799,0.17272306979255064,0.1165981166816854,0.78344359490951,1.1680067547083224,0.7620139464783968,0.9663131151676385,61644.90271444475,88735.87679570001,5.200429184549356,8.1,469.3,24767.0,0.43175219958365313,1.4262580940479535,469.3,0.31557639036863416,0.07089285915993469,-0.024360804911972827,-0.012888319590461439,0.0056990025652261965,5.227476914565156,1.3418080102932786,26.745419038606542,0.13857456134174823,10.327722139356489,0.054483215821569723,-0.023394902335162487,0.04744955454421196,0.707911829383099
oos,FINAL,0.01,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,72380.24275224746,0.4476048550449492,0.09841085138330678,-0.20066182917695566,0.172487404335343,0.11774908107508655,0.6139731246029764,0.9084509772490019,0.5457497469165323,0.9665906211079018,58451.64598860891,81989.90167220001,5.165128755364806,7.9,465.7,24767.0,0.19732107998770385,1.336155573580502,465.7,0.3023405625939446,0.07425243134486231,-0.02496064473370622,-0.013874937961685374,0.005035492504564017,4.395134278662609,1.2891629731308203,23.450288593754628,0.11000334171582975,10.3369121752201,0.055167194366390726,-0.023424889284155207,0.047762852564287,0.7053712391497908
oos,FINAL,0.01,15.0,none,B_close<EMA20|stop=atr1.5,50000.0,61686.09604602744,0.23372192092054878,0.05311528242990445,-0.2146557798479241,0.17270234495031075,0.1192971917198461,0.3713982711583603,0.5449396803283181,0.27900766260987625,0.9665118840612079,53995.17819015538,71378.03444429999,5.214270386266095,8.0,468.7,24767.0,0.0341768935225342,1.0934936549129526,468.7,0.2831235331768722,0.07716349439899853,-0.026113769178671392,-0.015845219282152545,0.0031264545822776127,2.752416437087175,1.1670083707162535,14.653692627135172,0.05037150705963423,10.368465969703434,0.055071693376895756,-0.023359956721886253,0.04772911742663417,0.7014808854918547
oos,FINAL,0.015,5.0,none,B_close<EMA20|stop=atr1.5,50000.0,74998.55432388672,0.4999710864777344,0.1051870315460589,-0.20523884268776293,0.18064270615368094,0.12316097673139717,0.618673406300024,0.9227393072218447,0.5877093892259603,0.9675543121310071,59376.660582391196,86432.42503210001,4.373712446351933,6.4,397.7,24767.0,0.0930384974835518,1.5059423372041294,397.7,0.3052552175006286,0.07194844302693491,-0.024691371138573077,-0.0138317274958758,0.004808436353739392,4.077830944474514,1.2803066302941206,19.12315137882156,0.10850883456493296,10.249685692733216,0.054408028659639784,-0.023094765959656864,0.04713471955256772,0.704563794798254
oos,SPY_only,0.005,5.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,68720.14120353598,0.3744028240707194,0.08772397657826478,-0.1503943108240527,0.14079273487082916,0.09652053288865894,0.662728126772742,0.9734301151303771,0.5888625190509928,0.9213099466245115,54814.16191343563,74817.5705478,7.752896995708154,11.8,687.0,23731.0,0.197903987379965,0.9816873663804467,687.0,0.31208151382823873,0.07167618781208365,-0.024606012059994152,-0.012747983534558416,0.005441882630796938,6.286350608799886,1.3214925830318494,37.38573367357496,0.13513617164095507,10.517758369723435,0.05556289857140593,-0.02302489395297738,0.04825899277326909,0.7063516125180264
oos,SPY_only,0.01,0.0,spy200,B_close<EMA20|stop=atr1.5,50000.0,76570.1626187431,0.5314032523748619,0.11774444591079283,-0.16689682016335874,0.16300412042076934,0.1094086667514329,0.7519253197282624,1.1308017405727013,0.7273320299662019,0.9225699458076436,58669.43071872929,86443.8166829,4.84774678111588,7.5,437.5,23731.0,0.4385859968009943,1.2229884244257472,437.5,0.31748571428571426,0.06926540035791735,-0.02413415219327424,-0.012763395213081674,0.005518871462406927,5.021474646524253,1.3350475804847535,24.145062648030304,0.14260174226908506,10.327085714285714,0.05416183904165944,-0.023113965059550375,0.047406326415602426,0.7184442999550807
