period,model,experiment,step,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,S5_+breadth,ladder_no_location,S5_+breadth,1236,0.32605177993527507,0.06413405817230494,-0.026713980115077356,-0.013946368551554178,0.002907184472151663,1.6096556788576235,1.1614758061173442,3.5932800075794553,0.07475964462979905,11.354368932038835,0.0559829855485115,-0.024169968174401816,0.05041722445911563,0.7572162119236543,0.0019333313664898193,2988,-0.0024005305654832406,50000.0,65954.39478223109,0.3190878956446218,0.09593027389314987,-0.1396758793448959,0.15141375247384206,0.10700549481345605,0.6732561320507108,0.9559183039512777,0.6868617039627375,0.6155673942342578,38610.95339001905,74159.4588422,3.287830687830688,6.8,192.0,2988.0
dev,A5_+breadth,ladder_with_pullback,A5_+breadth,640,0.3109375,0.056945349726345136,-0.024198043691172483,-0.015711957945345856,0.0010324801995869,0.48650538492932127,1.061921698391921,0.660787327735616,0.0171620537198397,10.9546875,0.04942902448934862,-0.02183478304773378,0.045093264765329495,0.7965740374811694,0.00405958674687983,891,-0.00027427518509322985,50000.0,55167.53459734075,0.10335069194681504,0.03274726698213071,-0.17690137080858243,0.13399325132945766,0.09847709241451602,0.2983389723749835,0.40827955718676884,0.2043983522350997,0.5375143552082221,30808.69531466376,65653.2870634,2.5685185185185184,6.2,168.0,891.0
dev,REF_random_uptrend_day,ladder_reference,REF_uptrend_every_day,4911,0.38851557727550395,0.03581934852461533,-0.01971940372259212,-0.004771159652456225,0.0018582666678928765,2.5674285412049476,1.1541093044444966,9.125947606021917,0.030599119144242175,5.718998167379352,0.03516215942539309,-0.018436481902546844,0.030256058099269043,0.6367265321473212,0.003139884133202583,28101,-0.001193977798770477,50000.0,60135.72875766249,0.2027145751532497,0.06344666412620366,-0.2928607687925278,0.20668154203734646,0.15409587651734347,0.4012517888220806,0.5387427110567836,0.21736834814950096,0.9469681829065412,56717.14227701032,75672.21978700001,5.507407407407407,10.6,503.4,28269.0
dev,REF_random_every_day,ladder_reference,REF_every_day,33061,0.4558543298750794,0.023856920000835627,-0.019497499523029656,-0.0018677648977186712,0.0002658003361450108,1.2415922474647696,1.0250530975651038,8.787624913290202,-0.005068003571291593,2.2495992256737547,0.024279629052321994,-0.01782818085146734,0.01202537515584237,0.4208920000085255,0.00433386193197306,74500,0.0,50000.0,56913.80189025782,0.13827603780515618,0.0411220691145886,-0.3515289577207839,0.257108902845306,0.18457107667828004,0.28095933522878497,0.3914650212299697,0.11747456256027844,0.9752108277730794,54875.55878117434,67649.7698274,5.948677248677249,14.0,986.4,75500.0
dev,ablH_full,ablation_of_A_full_hypothesis,full,640,0.3109375,0.056945349726345136,-0.024198043691172483,-0.015711957945345856,0.0010324801995869,0.48650538492932127,1.061921698391921,0.660787327735616,0.0171620537198397,10.9546875,0.04942902448934862,-0.02183478304773378,0.045093264765329495,0.7965740374811694,0.00405958674687983,891,-0.00027427518509322985,50000.0,55167.53459734075,0.10335069194681504,0.03274726698213071,-0.17690137080858243,0.13399325132945766,0.09847709241451602,0.2983389723749835,0.40827955718676884,0.2043983522350997,0.5375143552082221,30808.69531466376,65653.2870634,2.5685185185185184,6.2,168.0,891.0
dev,ablH_no_breadth,ablation_of_A_full_hypothesis,no_breadth,645,0.3147286821705426,0.0576061856709329,-0.024253015101515046,-0.015510386642775043,0.001510423281131361,0.7012531017045575,1.0908804312415794,0.9742230163297279,0.030477507141306995,11.029457364341086,0.0502597928700049,-0.02180966845201932,0.04544793993389457,0.7902762489116082,0.004437564654394223,898,0.00010370272242116261,50000.0,56016.585615524426,0.12033171231048864,0.037972492508728875,-0.2013342599950989,0.14141345190363555,0.10339419963675109,0.3272674482679091,0.4490246311922842,0.21398106268254602,0.5415056551444476,31107.526276666933,69783.5832142,2.5716931216931216,6.0,173.2,898.0
dev,ablH_no_vix,ablation_of_A_full_hypothesis,no_vix,655,0.3114503816793893,0.056780385797292436,-0.024189465399604374,-0.016009361746837203,0.0010286256601924949,0.49220616015199636,1.0617583723886541,0.6737498074260841,0.01580063950097657,10.87175572519084,0.04927218761805768,-0.021829486834518963,0.04513617949542342,0.7906566820190002,0.004015195183927841,922,-0.0003186667480452191,50000.0,50985.968728338485,0.019719374566769622,0.0060189280578474506,-0.22968955426954546,0.13329203662659064,0.09840170087060965,0.10923442702922541,0.1491384985196338,0.03945896571847442,0.5425476159023755,30629.35819104048,65505.40745720001,2.617195767195767,6.2,182.6,922.0
dev,ablH_no_market_gate,ablation_of_A_full_hypothesis,no_market_gate,690,0.3072463768115942,0.05592634116183003,-0.023948981973911876,-0.01524439797005489,0.0005924216562001338,0.29404274573900235,1.0357079619203602,0.40877094277809234,0.0006147381531056937,10.743478260869566,0.04873584014613484,-0.021887358704277732,0.04525417886882263,0.802090608293682,0.002454299430333304,962,-0.0018795625016397558,50000.0,52780.12786065927,0.05560255721318559,0.01795832207302661,-0.19812674734204935,0.13665837261946764,0.10040647750846605,0.1968533955336368,0.26960579525315026,0.09507061987049488,0.6142609608043248,34699.47638822063,65497.2369694,3.001322751322751,6.4,207.0,964.0
dev,ablH_no_regime_at_all,ablation_of_A_full_hypothesis,no_regime_at_all,755,0.32317880794701986,0.05800006190495682,-0.024412682149065758,-0.015009318079715839,0.002221370233956109,1.103721132508165,1.1344409284022612,1.6771345266368622,0.05356117001200664,10.927152317880795,0.05121252891779705,-0.022111742736029977,0.046083398260003426,0.7666032143249327,0.0033137251517639747,1068,-0.0010201367802090853,50000.0,62399.732700760665,0.2479946540152133,0.07527485676248862,-0.19243614484058869,0.15498893258036817,0.11064104246119184,0.5389493534459171,0.7592573534290207,0.43090503042790285,0.713241395243986,40905.03182278095,68471.407256,3.4306878306878312,6.2,230.2,1070.0
dev,ablH_no_stock_trend,ablation_of_A_full_hypothesis,no_stock_trend,1048,0.2967557251908397,0.05581683758825985,-0.02529784892697675,-0.015919450123054957,-0.0012266013065200887,-0.7416935198798383,0.9310532779891917,-1.285478169233053,-0.01740156574508498,10.079198473282442,0.047966688826651,-0.023230627768153937,0.045813800129098116,0.8200337645845673,0.0018572317013764118,1410,-0.002476630230596648,50000.0,52894.671788558924,0.05789343577117852,0.017660471428881587,-0.19961193074488914,0.14194757279047449,0.10579290079419634,0.18498224688010972,0.25580416382740023,0.09315672218385601,0.579315367678741,29860.028501073808,59764.008623,2.9595238095238097,6.8,208.4,1410.0
