period,model,family,gating,slice,slice_value,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,fwd10_mean,fwd10_n,fwd10_excess_vs_all_days,pf_start_equity,pf_end_equity,pf_total_return,pf_cagr,pf_max_dd,pf_ann_vol,pf_downside_vol,pf_sharpe,pf_sortino,pf_calmar,pf_avg_exposure,pf_avg_capital_deployed,pf_peak_capital_deployed,pf_avg_positions,pf_max_positions,pf_portfolio_trades,pf_candidate_signals
dev,FAM_C_contraction_breakout,FAM_C_contraction_breakout,ungated,reg_breadth_state,STRONG,104,0.34615384615384615,0.0932295374947047,-0.03009271468008338,-0.02140482595048898,0.012595757226574031,1.5686913985880149,1.640158240707052,1.3099587515636992,0.24154108739564964,14.009615384615385,0.0759901874619154,-0.02633218360393805,0.0624627008986021,0.6794574330144596,,,,,,,,,,,,,,,,,,,,
dev,FAM_C_contraction_breakout,FAM_C_contraction_breakout,ungated,reg_breadth_state,WEAK,2,1.0,0.04092119115255266,,0.04092119115255266,0.04092119115255266,1.111417999843206,inf,0.08184238230510532,0.42227788522028425,20.5,0.16950578645243286,-0.011110319496290544,0.10377642527009645,0.7120700960735286,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,ALL,ALL,4911,0.38851557727550395,0.03581934852461533,-0.01971940372259212,-0.004771159652456225,0.0018582666678928765,2.5674285412049476,1.1541093044444966,9.125947606021917,0.030599119144242175,5.718998167379352,0.03516215942539309,-0.018436481902546844,0.030256058099269043,0.6367265321473212,0.003139884133202583,28101.0,-0.001193977798770477,50000.0,60135.72875766249,0.2027145751532497,0.06344666412620366,-0.2928607687925278,0.20668154203734646,0.15409587651734347,0.4012517888220806,0.5387427110567836,0.21736834814950096,0.9469681829065412,56717.14227701032,75672.21978700001,5.507407407407407,10.6,503.4,28269.0
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,spy200,ALL,ALL,4159,0.3875931714354412,0.035158571675873294,-0.019139448056235523,-0.004823313835836673,0.0019060936143967023,2.5492186682579736,1.1626203129142176,7.927443342275885,0.041112599439833426,5.9208944457802355,0.03510383154117983,-0.017778897331322215,0.030644141133355656,0.6534869065875208,0.003395360610194186,24077.0,-0.000938501321778874,50000.0,67703.56735351968,0.3540713470703937,0.09995282416099438,-0.17179455542655747,0.16291060977138233,0.11825553163824791,0.6344218769241997,0.89586884881747,0.6045892986795302,0.6809404343422724,42162.233523736504,76323.3211894,3.701322751322752,7.2,287.8,24077.0
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_market_state,BEARISH,865,0.3861271676300578,0.042846052494770075,-0.023646937635224186,-0.005479988390125423,0.002027812310923889,0.932885088083841,1.1396929329415586,1.7540576489491642,-0.02105093278935857,5.532947976878613,0.038962047204165,-0.02253916067181617,0.03216209977295407,0.5862500035575638,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_market_state,BULLISH,3861,0.39134939134939134,0.03394236319273943,-0.018681553811785892,-0.004529815594338182,0.001912784078355976,2.502950177330855,1.168222813523286,7.385259326532424,0.04324714977961715,5.6995596995597,0.03405230744401584,-0.01728005575208302,0.02961113476485989,0.645726530566858,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_market_state,MIXED,185,0.34054054054054056,0.0435845185314854,-0.022616344565108613,-0.007324987959432261,-7.22668619441624e-05,-0.021186055655205645,0.9951546106288046,-0.013369369459670044,0.008130192870630406,6.994594594594594,0.0405580273792303,-0.023388612883751426,0.03477617361838804,0.7047814697658875,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_vol_regime,HIGH,979,0.37895812053115424,0.041548445812141885,-0.020631207974811723,-0.0055959924206429035,0.002932276759570083,1.6267628189155667,1.2288544775229067,2.8706989476191116,0.038127876023667705,5.833503575076609,0.038433927088429465,-0.02057730697394693,0.031489461062634366,0.6191002041410638,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_vol_regime,LOW,1582,0.3723135271807838,0.03539891680409796,-0.01749669049438609,-0.0056509126172334945,0.0021970596312821163,1.9765270717894348,1.2000521234814365,3.475748336688308,0.05799674597268024,6.404551201011378,0.03402744188358272,-0.016293543565570993,0.03054556483740537,0.6512950119531155,,,,,,,,,,,,,,,,,,,,
dev,FAM_REF_random_uptrend_day,FAM_REF_random_uptrend_day,ungated,reg_vol_regime,NORMAL,1459,0.37354352296093213,0.02741693686507508,-0.018928136524120003,-0.004529815594338182,-0.001616234538437125,-1.5398212461669616,0.863696935660121,-2.3580861915797655,-0.04472379751969714,4.902673063742289,0.029232566805171067,-0.017571868330854425,0.028335190161351206,0.7277504211416937,,,,,,,,,,,,,,,,,,,,
