period,model,grouping,group,trades,win_rate,avg_win,avg_loss,median_ret,expectancy,t_stat,profit_factor,sum_ret,avg_R,avg_hold,avg_mfe,avg_mae,avg_giveback_pp,giveback_pct_of_peak,tickers,median_ticker_cagr,median_ticker_max_dd,median_ticker_sharpe,median_bh_cagr,pct_tickers_profitable
dev,SPY_only,bucket,Financials,259,0.3359073359073359,0.052162043880407495,-0.021472231602222946,-0.010560556726017079,0.003262061706614309,1.0222607862503728,1.2287632755624427,0.844873982013106,0.035304020241137185,9.733590733590734,0.0486212005772783,-0.02002403314183869,0.04462242614575126,0.7082138850883116,12,0.019645366716598667,-0.18130104978467598,0.19445793794300636,0.02754460283795035,0.6666666666666666
dev,SPY_only,bucket,Healthcare,217,0.31797235023041476,0.047489985527750196,-0.019239024995850538,-0.010386592295205,0.0019789553088888647,0.5618359615830419,1.1508172251808935,0.42943330202888363,0.09336269386696101,9.225806451612904,0.04005687099648594,-0.017762195311358916,0.035674314799477226,0.7346991612709575,9,0.001075684451915082,-0.17875035585222665,0.07273931641545707,0.10515355569382412,0.5555555555555556
dev,SPY_only,bucket,Industrials,164,0.31097560975609756,0.04910282285951493,-0.02052508268367086,-0.01033330801871879,0.0011274976986613086,0.28974730777514596,1.0797252983892627,0.18490962258045462,-0.024925817521712298,8.951219512195122,0.04328678988525368,-0.020745270083558923,0.03809190783487984,0.7587081050088622,8,-0.0017781020935155323,-0.19608096277540038,0.03500749436059576,0.06756999044477652,0.5
dev,SPY_only,bucket,Materials,96,0.3125,0.08292241264333584,-0.022883907211438667,-0.014159079946613029,0.010180567743178371,1.1418630951684807,1.6470965993136981,0.9773345033451236,0.17226705980084556,10.21875,0.06402191663708745,-0.022889732134572554,0.059263988744050596,0.6668827250619326,4,0.027921586283209954,-0.25668074663397195,0.29270270655860436,0.12317100080338983,1.0
dev,SPY_only,bucket,Real Estate,60,0.31666666666666665,0.049567271876050464,-0.02388293488626353,-0.015025812690028728,-0.0006237027448640982,-0.0824060302345889,0.9617829329377634,-0.037422164691845894,-0.004041345255838073,8.866666666666667,0.04352853520545541,-0.02271203698626627,0.044447216387988576,0.7336742653133804,3,-0.009656738786809171,-0.2002546621803175,-0.03461873845010617,-0.005836693582403019,0.3333333333333333
dev,SPY_only,bucket,Semiconductors,225,0.28444444444444444,0.07937029417988367,-0.03038131691255157,-0.014246890885314167,0.0008369191315189001,0.15146266346412118,1.0384975899926558,0.18830680459175253,0.036732906559475836,7.88,0.05974414844699631,-0.03042516774477737,0.05818850062864373,0.7387003513471984,8,-0.0030226380369913763,-0.3430220306732121,0.0841679456076159,0.11429092292620857,0.5
dev,SPY_only,bucket,Software,176,0.36363636363636365,0.0723412973081963,-0.024706885919284355,-0.010122892459729527,0.010583362527072248,2.153887140072642,1.6731321102610872,1.8626718047647155,0.3553219693788061,12.005681818181818,0.06715825252722452,-0.022923793117280378,0.05404158952589587,0.6733930282812077,8,0.07056556529772318,-0.21948868940446598,0.45598662691919467,0.12899278119993496,1.0
dev,SPY_only,bucket,Tech Hardware & IT Services,108,0.32407407407407407,0.05547429887102013,-0.02682882522982973,-0.011786733270692351,-0.0001565164934432015,-0.028959688542668977,0.9913690351385077,-0.01690378129186576,0.02517595680799238,9.87037037037037,0.04559674861016726,-0.02356076812498447,0.04453555840085972,0.7399253480890324,5,-0.04500293038013825,-0.17418145640812943,-0.2927062152225399,0.08172175627194278,0.4
dev,SPY_only,bucket,Transportation,81,0.30864197530864196,0.057490133958658235,-0.023112428245338167,-0.015009318079715839,0.0017649057682409678,0.2602744126707872,1.1104518357813717,0.1429573672275184,-0.0058325219132146795,8.679012345679013,0.04684604764703226,-0.02108065092994573,0.042404793703885016,0.786839936469026,4,-0.002262408446162989,-0.22028698677975944,0.030810951675945913,0.06368842867181757,0.5
dev,SPY_only,bucket,Utilities,70,0.2714285714285714,0.045691546902860224,-0.019875593123519407,-0.013755992324294364,-0.002078797973502078,-0.4506893582783408,0.8564444289656591,-0.14551585814514545,-0.03881150227672684,9.6,0.03557621062101865,-0.017826230658737577,0.03652065232739671,0.7768675988391981,3,-0.0008027217997967906,-0.19836898266536107,0.041752071234198156,0.08335137291528616,0.3333333333333333
