entry_price,exit_price,premium,exit_premium,cost,pnl,pnl_pct,reason,symbol,entry_time,atr
324.76,324.8852844610258,0.31,0.38,31.32,6.26,20.0,TP,ADBE,2025-11-17 20:15:00+00:00,1.04
318.285,317.9182949281973,0.46,0.28,45.84,-18.34,-40.0,SL,ADBE,2025-11-19 14:45:00+00:00,1.53
316.155,316.35691299888515,0.5,0.61,50.48,10.1,20.0,TP,ADBE,2025-11-19 16:00:00+00:00,1.68
36.92,36.85530830294281,0.08,0.05,8.09,-3.23,-40.0,SL,INTC,2025-10-22 14:30:00+00:00,0.27
36.59,36.52375770987547,0.08,0.05,8.28,-3.31,-40.0,SL,INTC,2025-10-22 14:45:00+00:00,0.28
38.07,37.99570945594389,0.09,0.06,9.29,-3.71,-40.0,SL,INTC,2025-11-04 14:45:00+00:00,0.31
38.06,37.981844494805046,0.1,0.06,9.77,-3.91,-40.0,SL,INTC,2025-11-04 15:00:00+00:00,0.33
37.805,37.846000770269086,0.1,0.12,10.25,2.05,20.0,TP,INTC,2025-11-04 15:15:00+00:00,0.34
37.945,37.98581500096415,0.1,0.12,10.2,2.04,20.0,TP,INTC,2025-11-04 15:30:00+00:00,0.34
37.945,37.86671499820943,0.1,0.06,9.79,-3.91,-40.0,SL,INTC,2025-11-04 15:45:00+00:00,0.33
37.555,37.47450678405161,0.1,0.06,10.06,-4.02,-40.0,SL,INTC,2025-11-04 16:00:00+00:00,0.34
37.59,37.629300421690324,0.1,0.12,9.83,1.97,20.0,TP,INTC,2025-11-04 16:15:00+00:00,0.33
37.69,37.72799324871244,0.09,0.11,9.5,1.9,20.0,TP,INTC,2025-11-04 16:30:00+00:00,0.32
37.74,37.66592682381975,0.09,0.06,9.26,-3.7,-40.0,SL,INTC,2025-11-04 16:45:00+00:00,0.31
37.27,37.2996478744916,0.07,0.09,7.41,1.48,20.0,TP,INTC,2025-11-04 19:45:00+00:00,0.25
36.565,36.59661024886007,0.08,0.09,7.9,1.58,20.0,TP,INTC,2025-11-13 14:45:00+00:00,0.26
36.69,36.62443810925987,0.08,0.05,8.2,-3.28,-40.0,SL,INTC,2025-11-13 15:00:00+00:00,0.27
35.84,35.7754594111254,0.08,0.05,8.07,-3.23,-40.0,SL,INTC,2025-11-13 18:30:00+00:00,0.27
35.68,35.61398373890215,0.08,0.05,8.25,-3.3,-40.0,SL,INTC,2025-11-13 18:45:00+00:00,0.28
35.71,35.64475632898057,0.08,0.05,8.16,-3.26,-40.0,SL,INTC,2025-11-13 19:00:00+00:00,0.27
34.85,34.889893370960024,0.1,0.12,9.97,1.99,20.0,TP,INTC,2025-11-14 14:45:00+00:00,0.33
34.38,34.32398940872157,0.07,0.04,7.0,-2.8,-40.0,SL,INTC,2025-11-17 20:00:00+00:00,0.23
34.3,34.243961593812884,0.07,0.04,7.0,-2.8,-40.0,SL,INTC,2025-11-17 20:15:00+00:00,0.23
225.3,225.4790366143336,0.45,0.54,44.76,8.95,20.0,TP,MU,2025-11-05 14:30:00+00:00,1.49
234.795,234.17679777881685,0.77,0.46,77.28,-30.91,-40.0,SL,MU,2025-11-18 14:45:00+00:00,2.58
230.465,229.79426936604423,0.84,0.5,83.84,-33.54,-40.0,SL,MU,2025-11-18 15:00:00+00:00,2.79
229.54,228.8412358398982,0.87,0.52,87.35,-34.94,-40.0,SL,MU,2025-11-18 15:15:00+00:00,2.91
228.62,228.97404050290442,0.89,1.06,88.51,17.7,20.0,TP,MU,2025-11-18 15:30:00+00:00,2.95
230.1,229.3908962088918,0.89,0.53,88.64,-35.46,-40.0,SL,MU,2025-11-18 15:45:00+00:00,2.95
227.67,226.97014647968524,0.87,0.52,87.48,-34.99,-40.0,SL,MU,2025-11-18 16:00:00+00:00,2.92
228.66,227.94190744542203,0.9,0.54,89.76,-35.9,-40.0,SL,MU,2025-11-18 16:15:00+00:00,2.99
195.88,195.04696405387944,1.04,0.62,104.13,-41.65,-40.0,SL,MU,2025-11-21 15:30:00+00:00,3.47
195.77,194.93183805003093,1.05,0.63,104.77,-41.91,-40.0,SL,MU,2025-11-21 15:45:00+00:00,3.49
194.75,193.91479247502872,1.04,0.63,104.4,-41.76,-40.0,SL,MU,2025-11-21 16:00:00+00:00,3.48
229.66,229.18459889589045,0.59,0.36,59.43,-23.77,-40.0,SL,MU,2025-12-03 14:45:00+00:00,1.98
120.95,121.15082631055749,0.5,0.6,50.21,10.04,20.0,TP,CRWV,2025-10-21 13:45:00+00:00,1.67
116.8,116.98387145050297,0.46,0.55,45.97,9.19,20.0,TP,CRWV,2025-10-22 14:45:00+00:00,1.53
119.58,119.742591158088,0.41,0.49,40.65,8.13,20.0,TP,CRWV,2025-11-04 14:45:00+00:00,1.35
115.99,115.66619312062436,0.4,0.24,40.48,-16.19,-40.0,SL,CRWV,2025-11-04 18:00:00+00:00,1.35
115.325,115.48232462256726,0.39,0.47,39.33,7.87,20.0,TP,CRWV,2025-11-04 18:15:00+00:00,1.31
115.68,115.8353442923839,0.39,0.47,38.84,7.77,20.0,TP,CRWV,2025-11-04 18:30:00+00:00,1.29
106.5,106.13758418294891,0.45,0.27,45.3,-18.12,-40.0,SL,CRWV,2025-11-06 15:45:00+00:00,1.51
105.91,105.52992816988113,0.48,0.29,47.51,-19.0,-40.0,SL,CRWV,2025-11-06 16:00:00+00:00,1.58
105.5,105.1154931668873,0.48,0.29,48.06,-19.23,-40.0,SL,CRWV,2025-11-06 16:30:00+00:00,1.6
104.55,104.73777817251661,0.47,0.56,46.94,9.39,20.0,TP,CRWV,2025-11-06 16:45:00+00:00,1.56
95.07,94.58259027536768,0.61,0.37,60.93,-24.37,-40.0,SL,CRWV,2025-11-11 14:45:00+00:00,2.03
92.85,92.34580525569855,0.63,0.38,63.02,-25.21,-40.0,SL,CRWV,2025-11-11 15:00:00+00:00,2.1
91.39,90.87321916600581,0.65,0.39,64.6,-25.84,-40.0,SL,CRWV,2025-11-11 15:15:00+00:00,2.15
90.34,90.59827681578302,0.65,0.77,64.57,12.91,20.0,TP,CRWV,2025-11-11 15:30:00+00:00,2.15
91.55,91.04702877068867,0.63,0.38,62.87,-25.15,-40.0,SL,CRWV,2025-11-11 15:45:00+00:00,2.1
91.73,91.24444100135378,0.61,0.36,60.69,-24.28,-40.0,SL,CRWV,2025-11-11 16:00:00+00:00,2.02
90.34,90.58330953508575,0.61,0.73,60.83,12.17,20.0,TP,CRWV,2025-11-11 16:15:00+00:00,2.03
80.875,80.58707667613255,0.36,0.22,35.99,-14.4,-40.0,SL,CRWV,2025-11-13 14:45:00+00:00,1.2
