entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_slope_10,entry_adx,entry_reason,exit_time
580.13,580.13,589.24,9.11,2.0,10.43,200.0,710.78,-200.0,710.78,355.4,MAX_PROFIT,3,7,AXON,2025-11-07 15:15:00+00:00,6.07,23.3,579.48,585.86,-1.6441,-1.2637,40.6,"RSI=23.3, Close=$579.48 < KC_Lower=$585.86",2025-11-07 16:00:00+00:00
572.14,572.14,577.39,5.24,1.7,1.59,170.42,353.94,-170.42,-11.3,-6.6,BARS_STOP,10,3,AXON,2025-11-11 15:30:00+00:00,3.5,23.1,571.15,577.34,-1.0979,-0.6346,21.8,"RSI=23.1, Close=$571.15 < KC_Lower=$577.34",2025-11-11 18:00:00+00:00
559.1,559.1,563.34,4.24,1.38,5.61,137.84,286.29,-137.84,286.29,207.7,MAX_PROFIT,2,7,AXON,2025-11-14 14:45:00+00:00,2.83,23.6,554.48,557.7,-0.7414,-0.675,29.0,"RSI=23.6, Close=$554.48 < KC_Lower=$557.70",2025-11-14 15:15:00+00:00
544.53,544.53,548.56,4.03,1.31,5.33,130.86,271.78,-130.86,271.78,207.7,MAX_PROFIT,1,4,AXON,2025-11-17 15:00:00+00:00,2.68,24.6,545.16,550.63,-0.9032,-0.5042,31.3,"RSI=24.6, Close=$545.16 < KC_Lower=$550.63",2025-11-17 15:15:00+00:00
547.04,547.04,553.8,6.75,2.0,7.06,200.0,475.19,-200.0,475.19,237.6,MAX_PROFIT,3,4,AXON,2025-12-15 15:30:00+00:00,4.5,22.0,545.78,555.56,-1.4957,-0.6601,27.9,"RSI=22.0, Close=$545.78 < KC_Lower=$555.56",2025-12-15 16:15:00+00:00
350.91,350.91,353.58,2.67,0.87,0.85,86.68,180.03,-86.68,-1.87,-2.2,BARS_STOP,10,9,ADBE,2025-09-24 13:45:00+00:00,1.78,17.1,351.02,358.43,-0.4382,-0.1881,19.9,"RSI=17.1, Close=$351.02 < KC_Lower=$358.43",2025-09-24 16:15:00+00:00
353.42,353.42,355.68,2.26,0.73,2.99,73.45,152.55,-73.45,152.55,207.7,MAX_PROFIT,1,3,ADBE,2025-09-30 14:45:00+00:00,1.51,22.5,353.29,356.41,-0.4682,-0.1664,31.3,"RSI=22.5, Close=$353.29 < KC_Lower=$356.41",2025-09-30 15:00:00+00:00
344.46,344.46,347.18,2.72,0.88,0.86,88.35,183.49,-88.35,-1.91,-2.2,BARS_STOP,10,9,ADBE,2025-10-01 13:45:00+00:00,1.81,24.0,344.54,348.72,-0.3786,-0.2985,45.9,"RSI=24.0, Close=$344.54 < KC_Lower=$348.72",2025-10-01 16:15:00+00:00
341.08,341.08,343.59,2.51,0.81,2.56,81.41,169.09,-81.41,169.09,207.7,MAX_PROFIT,6,9,ADBE,2025-10-01 16:30:00+00:00,1.67,24.5,340.8,342.2,-0.5342,-0.6063,54.4,"RSI=24.5, Close=$340.80 < KC_Lower=$342.20",2025-10-01 18:00:00+00:00
340.55,340.55,342.38,1.83,0.6,0.58,59.52,123.61,-59.52,-1.66,-2.8,BARS_STOP,10,7,ADBE,2025-10-10 15:15:00+00:00,1.22,24.7,340.48,342.74,-0.3469,-0.1652,35.9,"RSI=24.7, Close=$340.48 < KC_Lower=$342.74",2025-10-10 17:45:00+00:00
342.16,342.16,345.24,3.08,1.0,1.49,100.06,207.82,-100.06,49.34,49.3,BARS_STOP,10,9,ADBE,2025-10-29 14:45:00+00:00,2.05,18.0,342.81,349.63,-1.3475,-0.6983,51.5,"RSI=18.0, Close=$342.81 < KC_Lower=$349.63",2025-10-29 17:15:00+00:00
339.13,339.13,341.27,2.14,0.69,2.82,69.44,144.22,-69.44,144.22,207.7,MAX_PROFIT,6,9,ADBE,2025-10-29 18:45:00+00:00,1.42,23.9,339.2,340.93,-0.4012,-0.3831,47.8,"RSI=23.9, Close=$339.20 < KC_Lower=$340.93",2025-10-30 13:45:00+00:00
345.25,345.25,348.53,3.28,1.07,3.08,106.56,221.31,-106.56,201.72,189.3,MAX_PROFIT,1,4,ADBE,2025-12-15 15:15:00+00:00,2.19,23.7,345.42,350.05,-0.6606,-0.2013,19.0,"RSI=23.7, Close=$345.42 < KC_Lower=$350.05",2025-12-15 15:30:00+00:00
175.92,175.92,176.83,0.91,0.3,0.29,29.63,61.54,-29.63,-0.64,-2.2,BARS_STOP,10,9,ARES,2025-09-24 15:30:00+00:00,0.61,17.4,176.59,178.78,-0.2915,-0.164,23.2,"RSI=17.4, Close=$176.59 < KC_Lower=$178.78",2025-09-24 18:00:00+00:00
172.92,172.92,173.93,1.01,0.33,0.32,32.91,68.36,-32.91,-0.71,-2.2,BARS_STOP,10,9,ARES,2025-09-24 18:15:00+00:00,0.68,19.6,172.69,174.73,-0.334,-0.3536,45.4,"RSI=19.6, Close=$172.69 < KC_Lower=$174.73",2025-09-25 14:15:00+00:00
165.57,165.57,167.22,1.65,0.54,0.7,53.66,111.44,-53.66,16.69,31.1,BARS_STOP,10,8,ARES,2025-09-25 14:30:00+00:00,1.1,22.1,165.86,168.59,-0.543,-0.4951,61.5,"RSI=22.1, Close=$165.86 < KC_Lower=$168.59",2025-09-25 17:00:00+00:00
163.79,163.79,164.87,1.08,0.35,1.42,35.01,72.71,-35.01,72.71,207.7,MAX_PROFIT,7,8,ARES,2025-09-25 18:15:00+00:00,0.72,23.1,163.67,165.0,-0.2632,-0.2436,63.2,"RSI=23.1, Close=$163.67 < KC_Lower=$165.00",2025-09-26 13:30:00+00:00
168.45,168.45,169.63,1.18,0.38,0.07,38.41,79.78,-38.41,-31.31,-81.5,STOP_LOSS,9,9,ARES,2025-12-17 16:30:00+00:00,0.79,23.4,168.63,170.12,-0.3282,-0.1551,30.4,"RSI=23.4, Close=$168.63 < KC_Lower=$170.12",2025-12-17 18:45:00+00:00
218.47,218.47,219.81,1.34,0.43,0.42,43.4,90.15,-43.4,-1.06,-2.4,BARS_STOP,10,8,BA,2025-10-09 15:00:00+00:00,0.89,20.7,218.49,221.1,-0.45,-0.1766,36.7,"RSI=20.7, Close=$218.49 < KC_Lower=$221.10",2025-10-09 17:30:00+00:00
211.58,211.58,213.34,1.76,0.57,2.33,57.3,119.0,-57.3,119.0,207.7,MAX_PROFIT,1,7,BA,2025-10-10 15:30:00+00:00,1.18,23.1,211.91,214.23,-0.3212,-0.1715,33.6,"RSI=23.1, Close=$211.91 < KC_Lower=$214.23",2025-10-10 15:45:00+00:00
217.08,217.08,218.91,1.83,0.6,2.43,59.63,123.84,-59.63,123.84,207.7,MAX_PROFIT,1,9,BA,2025-10-29 14:15:00+00:00,1.22,19.2,216.93,219.61,-0.638,-0.2222,43.3,"RSI=19.2, Close=$216.93 < KC_Lower=$219.61",2025-10-29 14:30:00+00:00
212.59,212.59,215.07,2.48,0.8,3.28,80.48,167.15,-80.48,167.15,207.7,MAX_PROFIT,1,9,BA,2025-10-29 15:30:00+00:00,1.65,21.9,212.86,216.63,-0.4549,-0.4184,46.0,"RSI=21.9, Close=$212.86 < KC_Lower=$216.63",2025-10-29 15:45:00+00:00
205.8,205.8,208.32,2.52,0.82,0.8,81.77,169.82,-81.77,-1.99,-2.4,BARS_STOP,10,8,BA,2025-10-30 13:45:00+00:00,1.68,22.0,206.78,210.78,-0.3795,-0.2778,43.6,"RSI=22.0, Close=$206.78 < KC_Lower=$210.78",2025-10-30 16:15:00+00:00
203.11,203.11,205.23,2.12,0.69,2.27,68.79,142.86,-68.79,142.86,207.7,MAX_PROFIT,2,8,BA,2025-10-30 16:30:00+00:00,1.41,24.5,203.22,204.41,-0.4554,-0.6214,55.5,"RSI=24.5, Close=$203.22 < KC_Lower=$204.41",2025-10-30 17:00:00+00:00
201.26,201.26,202.8,1.54,0.5,1.59,50.14,104.13,-50.14,104.13,207.7,MAX_PROFIT,4,8,BA,2025-10-30 19:45:00+00:00,1.03,23.4,201.31,202.09,-0.258,-0.2239,53.6,"RSI=23.4, Close=$201.31 < KC_Lower=$202.09",2025-10-31 14:15:00+00:00
198.29,198.29,199.31,1.02,0.33,1.08,33.24,69.04,-33.24,69.04,207.7,MAX_PROFIT,3,3,BA,2025-11-04 18:15:00+00:00,0.68,24.0,198.29,199.42,-0.2377,-0.2218,43.9,"RSI=24.0, Close=$198.29 < KC_Lower=$199.42",2025-11-04 19:00:00+00:00
200.97,200.97,201.99,1.02,0.33,0.31,33.13,68.81,-33.13,-2.2,-6.6,BARS_STOP,10,3,BA,2025-12-09 18:30:00+00:00,0.68,21.9,200.99,202.05,-0.2518,-0.1589,29.3,"RSI=21.9, Close=$200.99 < KC_Lower=$202.05",2025-12-10 14:30:00+00:00
140.88,140.88,141.88,1.0,0.33,0.32,32.51,67.51,-32.51,-0.7,-2.2,BARS_STOP,10,9,APO,2025-09-24 15:30:00+00:00,0.67,22.1,140.87,142.55,-0.3087,-0.1682,27.7,"RSI=22.1, Close=$140.87 < KC_Lower=$142.55",2025-09-24 18:00:00+00:00
295.31,295.31,298.4,3.1,1.01,3.83,100.72,209.19,-100.72,209.19,207.7,MAX_PROFIT,1,9,GE,2025-10-22 15:30:00+00:00,2.07,24.9,295.29,298.49,-0.627,-0.2901,24.5,"RSI=24.9, Close=$295.29 < KC_Lower=$298.49",2025-10-22 15:45:00+00:00
295.27,295.27,297.67,2.4,0.78,3.18,78.14,162.3,-78.14,162.3,207.7,MAX_PROFIT,1,3,GE,2025-11-18 15:15:00+00:00,1.6,21.8,295.42,297.08,-0.3247,-0.2704,28.6,"RSI=21.8, Close=$295.42 < KC_Lower=$297.08",2025-11-18 15:30:00+00:00
180.46,180.46,181.44,0.98,0.32,0.31,31.75,65.95,-31.75,-0.69,-2.2,BARS_STOP,10,9,BX,2025-09-24 15:00:00+00:00,0.65,23.6,181.29,182.75,-0.3031,-0.1673,26.2,"RSI=23.6, Close=$181.29 < KC_Lower=$182.75",2025-09-24 17:30:00+00:00
174.28,174.28,175.58,1.3,0.42,1.72,42.14,87.53,-42.14,87.53,207.7,MAX_PROFIT,1,8,BX,2025-09-25 13:45:00+00:00,0.86,21.8,174.13,176.91,-0.2405,-0.2111,50.2,"RSI=21.8, Close=$174.13 < KC_Lower=$176.91",2025-09-25 14:00:00+00:00
170.63,170.63,171.85,1.22,0.4,0.37,39.67,82.38,-39.67,-2.63,-6.6,BARS_STOP,10,3,BX,2025-09-30 15:00:00+00:00,0.81,20.1,170.92,172.55,-0.382,-0.1518,23.6,"RSI=20.1, Close=$170.92 < KC_Lower=$172.55",2025-09-30 17:30:00+00:00
167.32,167.32,168.27,0.95,0.31,1.26,30.89,64.16,-30.89,64.16,207.7,MAX_PROFIT,1,3,BX,2025-09-30 18:30:00+00:00,0.63,15.6,167.32,168.47,-0.2931,-0.3108,51.4,"RSI=15.6, Close=$167.32 < KC_Lower=$168.47",2025-09-30 18:45:00+00:00
156.2,156.2,157.58,1.38,0.45,0.44,44.81,93.06,-44.81,-1.25,-2.8,BARS_STOP,10,7,BX,2025-10-10 15:45:00+00:00,0.92,21.9,156.22,157.0,-0.2638,-0.1695,47.5,"RSI=21.9, Close=$156.22 < KC_Lower=$157.00",2025-10-10 18:15:00+00:00
153.8,153.8,155.52,1.72,0.56,2.08,55.81,115.92,-55.81,115.92,207.7,MAX_PROFIT,5,8,BX,2025-10-23 14:30:00+00:00,1.14,19.5,153.82,157.09,-0.5579,-0.1885,36.2,"RSI=19.5, Close=$153.82 < KC_Lower=$157.09",2025-10-23 15:45:00+00:00
272.34,272.34,274.09,1.75,0.57,0.11,56.97,118.32,-56.97,-45.8,-80.4,STOP_LOSS,2,9,ADI,2025-12-17 18:00:00+00:00,1.17,23.7,272.13,273.27,-0.3563,-0.359,34.6,"RSI=23.7, Close=$272.13 < KC_Lower=$273.27",2025-12-17 18:30:00+00:00
270.56,270.56,272.18,1.63,0.53,0.09,52.93,109.93,-52.93,-43.77,-82.7,STOP_LOSS,1,9,ADI,2025-12-17 18:45:00+00:00,1.09,19.2,270.43,272.27,-0.3871,-0.3614,39.6,"RSI=19.2, Close=$270.43 < KC_Lower=$272.27",2025-12-17 19:00:00+00:00
809.73,809.73,814.16,4.43,1.44,1.41,143.98,299.04,-143.98,-3.11,-2.2,BARS_STOP,10,9,EQIX,2025-10-29 14:00:00+00:00,2.95,22.0,807.04,819.03,-1.0648,-0.7637,47.7,"RSI=22.0, Close=$807.04 < KC_Lower=$819.03",2025-10-29 17:00:00+00:00
800.5,800.5,804.05,3.55,1.16,4.7,115.52,239.93,-115.52,239.93,207.7,MAX_PROFIT,5,9,EQIX,2025-10-29 18:45:00+00:00,2.37,24.7,797.71,803.24,-0.696,-0.7491,49.4,"RSI=24.7, Close=$797.71 < KC_Lower=$803.24",2025-10-30 13:30:00+00:00
801.84,801.84,806.76,4.92,1.6,1.56,160.04,332.4,-160.04,-3.89,-2.4,BARS_STOP,10,8,EQIX,2025-11-13 15:45:00+00:00,3.28,23.2,799.24,806.36,-1.1295,-0.6057,22.2,"RSI=23.2, Close=$799.24 < KC_Lower=$806.36",2025-11-13 18:15:00+00:00
784.42,784.42,788.36,3.94,1.28,5.21,127.91,265.65,-127.91,265.65,207.7,MAX_PROFIT,2,8,EQIX,2025-11-13 20:15:00+00:00,2.62,21.9,783.86,789.62,-0.953,-0.9396,47.4,"RSI=21.9, Close=$783.86 < KC_Lower=$789.62",2025-11-13 20:45:00+00:00
480.84,480.84,485.77,4.93,1.6,6.53,160.26,332.84,-160.26,332.84,207.7,MAX_PROFIT,1,9,DE,2025-11-26 15:00:00+00:00,3.29,24.3,480.14,487.79,-1.1511,-0.2436,30.8,"RSI=24.3, Close=$480.14 < KC_Lower=$487.79",2025-11-26 15:15:00+00:00
