,equity
2023-07-21,55826.14901084879
2023-07-24,56080.13088660738
2023-07-25,56243.04083829519
2023-07-26,56040.20496677646
2023-07-27,55859.57905516358
2023-07-28,56211.13592637183
2023-07-31,56238.432375326614
2023-08-01,56167.80879110441
2023-08-02,55141.575489514544
2023-08-03,55062.1751238403
2023-08-04,54458.7006955894
2023-08-07,55054.24384602332
2023-08-08,54618.31194799805
2023-08-09,54084.104497244305
2023-08-10,54218.37612195375
2023-08-11,54272.65088105374
2023-08-14,54426.128819945254
2023-08-15,53914.667345375885
2023-08-16,53677.706717236804
2023-08-17,53328.440309035184
2023-08-18,53168.1445941694
2023-08-21,53048.78122204916
2023-08-22,52503.8074081477
2023-08-23,52791.410751267125
2023-08-24,52164.29686257456
2023-08-25,52492.29112571441
2023-08-28,52731.9157647144
2023-08-29,53227.8321079144
2023-08-30,53418.8396150144
2023-08-31,53447.45830581442
2023-09-01,53820.131834714404
2023-09-05,53565.03794615888
2023-09-06,53501.854962197875
2023-09-07,53600.24944459787
2023-09-08,53870.48167750742
2023-09-11,53933.86805670742
2023-09-12,53785.556717960026
2023-09-13,53843.73834786003
2023-09-14,53809.177334860025
2023-09-15,53294.509370459404
2023-09-18,53374.933922787626
2023-09-19,53055.27825256926
2023-09-20,52663.809483599325
2023-09-21,51773.039779583894
2023-09-22,51785.45583767489
2023-09-25,51788.323656880995
2023-09-26,51368.99899888491
2023-09-27,51625.26377091856
2023-09-28,51999.86265942456
2023-09-29,51485.564259516555
2023-10-02,51327.52467578526
2023-10-03,50619.25477063241
2023-10-04,50832.02156291047
2023-10-05,51042.56060792237
2023-10-06,51713.80874040727
2023-10-09,51697.30102211317
2023-10-10,51859.29129591318
2023-10-11,52611.737504113175
2023-10-12,52337.033310813174
2023-10-13,52034.05391211317
2023-10-16,52398.92002001968
2023-10-17,51844.456908805856
2023-10-18,51308.920863031744
2023-10-19,50829.656665331255
2023-10-20,50079.68269405963
2023-10-23,49339.27753353327
2023-10-24,49616.448058093614
2023-10-25,49510.82984132791
2023-10-26,48756.42544961591
2023-10-27,48374.8205957828
2023-10-30,49034.980293070956
2023-10-31,49370.13616952431
2023-11-01,49946.4613464243
2023-11-02,50429.78294132431
2023-11-03,50546.80691972431
2023-11-06,50890.75719332431
2023-11-07,51156.64095512431
2023-11-08,51226.474718824305
2023-11-09,51187.43920002431
2023-11-10,51993.946983424314
2023-11-13,52091.87664802431
2023-11-14,52291.42093712431
2023-11-15,52592.55454472431
2023-11-16,52208.17622337871
2023-11-17,51853.34117497871
2023-11-20,52391.89567992271
2023-11-21,52379.21256075516
2023-11-22,52854.2274855952
2023-11-24,52918.71300649521
2023-11-27,52818.138064295206
2023-11-28,52860.61828689522
2023-11-29,52461.5028648952
2023-11-30,52504.71727995216
2023-12-01,52659.49222661145
2023-12-04,51968.34182121147
2023-12-05,52085.12403588996
2023-12-06,51800.15261754652
2023-12-07,52087.67861304172
2023-12-08,52283.48710114171
2023-12-11,52730.76192364172
2023-12-12,53176.339137741714
2023-12-13,53877.93397318131
2023-12-14,53879.95553238508
2023-12-15,54152.7123376743
2023-12-18,54433.01777997428
2023-12-19,54794.88435517428
2023-12-20,53899.913655554934
2023-12-21,54506.69809159053
2023-12-22,54673.148706090535
2023-12-26,54923.47391899054
2023-12-27,54994.55805003103
2023-12-28,54887.94957083104
2023-12-29,54755.488509931034
2024-01-02,54008.40673771268
2024-01-03,53532.615522772925
2024-01-04,53471.98971616803
2024-01-05,53773.17435524438
2024-01-08,54288.54664606459
2024-01-09,53935.59822015859
2024-01-10,53808.51090982401
2024-01-11,53644.17979347304
2024-01-12,53573.53638302725
2024-01-16,53441.715458162085
2024-01-17,53212.68120611599
2024-01-18,53574.994314018986
2024-01-19,54373.33344781898
2024-01-22,53689.94010940683
2024-01-23,53819.02238170271
2024-01-24,53872.42742509938
2024-01-25,54401.077452871425
2024-01-26,54218.56273598663
2024-01-29,54836.535364386626
2024-01-30,54899.48046248664
2024-01-31,53995.78089422362
2024-02-01,54840.30883649811
2024-02-02,55846.5695691857
2024-02-05,55768.25647048569
2024-02-06,55533.61367718569
2024-02-07,55630.30305528569
2024-02-08,55675.53303493691
2024-02-09,56017.5992488967
2024-02-12,55755.6430151967
2024-02-13,55089.602542053
2024-02-14,55843.1464703475
2024-02-15,56153.1102519475
2024-02-16,55720.7456181283
2024-02-20,55210.26569907189
2024-02-21,55296.811393577744
2024-02-22,56838.92926576514
2024-02-23,56419.176132470704
2024-02-26,56527.67870164876
2024-02-27,56594.84878814877
2024-02-28,56618.45325120837
2024-02-29,56765.457006597004
2024-03-01,57292.629676397
2024-03-04,57346.296284092416
2024-03-05,56970.579985356264
2024-03-06,57439.52296003705
2024-03-07,58060.53347163704
2024-03-08,57287.68992187736
2024-03-11,57082.152778462856
2024-03-12,57590.46621535765
2024-03-13,57795.267254943006
2024-03-14,57254.81929148798
2024-03-15,56941.66007073379
2024-03-18,57267.2101718516
2024-03-19,57576.2745069516
2024-03-20,58395.7259290516
2024-03-21,58923.1227856668
2024-03-22,58558.6127106668
2024-03-25,58387.1022646833
2024-03-26,58340.29339078329
2024-03-27,58964.956402706994
2024-03-28,59175.88199750699
2024-04-01,58989.261153311956
2024-04-02,58374.23430032398
2024-04-03,58421.38221592159
2024-04-04,57515.30131243416
2024-04-05,58083.17720168103
2024-04-08,58283.18562401829
2024-04-09,58487.104655119285
2024-04-10,57721.128165555885
2024-04-11,58105.02600922736
2024-04-12,56999.641636336964
2024-04-15,56395.42751578379
2024-04-16,56232.75274416684
2024-04-17,56228.19435779123
2024-04-18,56094.89023001882
2024-04-19,55965.41928783026
2024-04-22,56511.13643819045
2024-04-23,56669.98030389044
2024-04-24,56238.58290433661
2024-04-25,56577.46195307201
2024-04-26,56825.439637189134
2024-04-29,56968.88753621488
2024-04-30,56704.28057510856
2024-05-01,56835.76891117731
2024-05-02,57086.761416003304
2024-05-03,57330.489875530664
2024-05-06,57788.06026540726
2024-05-07,57746.95757680726
2024-05-08,57991.894833707265
2024-05-09,58554.681794007265
2024-05-10,58731.58698610725
2024-05-13,58805.83736320725
2024-05-14,59019.090401807254
2024-05-15,59361.28420040726
2024-05-16,59359.89697090726
2024-05-17,59583.190721923114
2024-05-20,59660.645296023096
2024-05-21,59459.8313118231
2024-05-22,59046.58896778875
2024-05-23,58405.13768388876
2024-05-24,58681.48775624012
2024-05-28,58451.050886546225
2024-05-29,57936.70654231797
2024-05-30,57511.01723689745
2024-05-31,58045.677803350656
