,equity
2023-05-10,53909.72658333104
2023-05-11,53815.71020288179
2023-05-12,53745.20112251545
2023-05-15,53930.6283105096
2023-05-16,53570.21654701607
2023-05-17,54220.506172162386
2023-05-18,54742.8296406635
2023-05-19,54663.17234677832
2023-05-22,54685.376792218194
2023-05-23,54071.650699075835
2023-05-24,53679.911234479725
2023-05-25,54144.76944379834
2023-05-26,54845.990006798034
2023-05-30,54866.87086757229
2023-05-31,54562.62573645178
2023-06-01,55081.02863943178
2023-06-02,55877.56407330848
2023-06-05,55770.48723310465
2023-06-06,55891.92725132438
2023-06-07,55698.658795906245
2023-06-08,56035.57171498398
2023-06-09,56136.110006025134
2023-06-12,56645.364695486285
2023-06-13,57018.824644378925
2023-06-14,57086.72828822264
2023-06-15,57794.4665339807
2023-06-16,57597.61042083833
2023-06-20,57298.78005344571
2023-06-21,57005.189744788004
2023-06-22,57210.97354219581
2023-06-23,56778.45007665581
2023-06-26,56546.4663947186
2023-06-27,57166.414631415784
2023-06-28,57195.23686380203
2023-06-29,57420.67367729118
2023-06-30,58098.27878949805
2023-07-03,58165.11701928636
2023-07-05,58078.61322629776
2023-07-06,57623.831171772064
2023-07-07,57478.338735704514
2023-07-10,57623.831171772064
2023-07-11,57990.806578666125
2023-07-12,58457.39629039737
2023-07-13,58921.359699201705
2023-07-14,58884.65883079815
2023-07-17,59089.12313499216
2023-07-18,59528.18514969483
2023-07-19,59660.567073913786
2023-07-20,59264.74461315907
2023-07-21,59264.74461315907
2023-07-24,59529.50027869334
2023-07-25,59692.01970067877
2023-07-26,59701.192735672026
2023-07-27,59305.37450275086
2023-07-28,59885.99147666574
2023-07-31,60000.0188752311
2023-08-01,59828.326418252414
2023-08-02,58996.06415427013
2023-08-03,58826.98954455126
2023-08-04,58560.92706930386
2023-08-07,59072.079646885235
2023-08-08,58815.198525916465
2023-08-09,58422.01055099233
2023-08-10,58442.970649550276
2023-08-11,58408.891856240094
2023-08-14,58731.31680802124
2023-08-15,58047.16482736632
2023-08-16,57621.209096678685
2023-08-17,57182.13467123881
2023-08-18,57209.66659610095
2023-08-21,57581.87783389638
2023-08-22,57425.90541674072
2023-08-23,58065.50694228272
2023-08-24,57260.776466780844
2023-08-25,57664.4568335303
2023-08-28,58030.12120287768
2023-08-29,58868.93879097512
2023-08-30,59111.40668183399
2023-08-31,59024.9028888454
2023-09-01,59134.99308331886
2023-09-05,58879.4146806114
2023-09-06,58483.60872204572
2023-09-07,58304.04594833509
2023-09-08,58391.860778870374
2023-09-11,58775.88799315674
