,equity
2023-07-21,46540.18948680463
2023-07-24,46584.57832460463
2023-07-25,46714.669261204624
2023-07-26,46903.82470640462
2023-07-27,46726.017673604634
2023-07-28,46757.932870404635
2023-07-31,46199.45323494562
2023-08-01,46527.093131296424
2023-08-02,46423.97694113033
2023-08-03,46441.886175930325
2023-08-04,46331.14383176499
2023-08-07,46717.04584294748
2023-08-08,46505.688772847476
2023-08-09,46427.24000915767
2023-08-10,46451.33282041968
2023-08-11,46574.19777331968
2023-08-14,46542.431219719685
2023-08-15,46353.32880238779
2023-08-16,46217.186939915584
2023-08-17,46365.67628717178
2023-08-18,46253.96931387179
2023-08-21,45616.575954056185
2023-08-22,45257.69506664374
2023-08-23,45470.45135077929
2023-08-24,44749.419503205
2023-08-25,44905.714279659485
2023-08-28,45040.9658478866
2023-08-29,45084.50946454174
2023-08-30,45352.3058405816
2023-08-31,45872.919597416294
2023-09-01,46312.07640306181
2023-09-05,46053.5755407618
2023-09-06,45985.26709412415
2023-09-07,45475.917754224145
2023-09-08,45522.3232011579
2023-09-11,45579.21914444931
2023-09-12,45342.455813573106
2023-09-13,45280.70151781751
2023-09-14,45900.41261011352
2023-09-15,45554.84476976936
2023-09-18,45820.41776294256
2023-09-19,45836.582065642564
2023-09-20,45827.79473506227
2023-09-21,45890.76156102972
2023-09-22,45764.07781802972
2023-09-25,45872.77340202971
2023-09-26,46048.53272283642
2023-09-27,46241.39828938717
2023-09-28,46325.20003059557
2023-09-29,45779.31097817728
2023-10-02,45612.01359612122
2023-10-03,45227.416614390604
2023-10-04,44876.105565835765
2023-10-05,44481.32461939968
2023-10-06,44193.61112431166
2023-10-09,44318.570354195865
2023-10-10,44406.34042301971
2023-10-11,44395.71491061972
2023-10-12,44122.30514334106
2023-10-13,44859.976476638054
2023-10-16,44869.43541468206
2023-10-17,44839.00012290456
2023-10-18,44825.09118774696
2023-10-19,44704.38729460096
2023-10-20,44401.06394843596
2023-10-23,44272.45596923596
2023-10-24,44152.13410697131
2023-10-25,43239.43844934086
2023-10-26,42200.76910151295
2023-10-27,42250.08442331116
2023-10-30,42250.08442331116
2023-10-31,42522.91325530257
2023-11-01,43320.67066860167
2023-11-02,43974.668251691364
2023-11-03,44236.499412196725
2023-11-06,44234.88179487392
2023-11-07,44652.150307473916
2023-11-08,44504.68236327392
2023-11-09,44312.26260547391
2023-11-10,44918.01916847392
2023-11-13,44715.728355867715
2023-11-14,45400.82739186472
2023-11-15,45673.211032364714
2023-11-16,46337.62482706472
2023-11-17,46586.24727326472
2023-11-20,47011.48494003191
2023-11-21,46537.45021416256
2023-11-22,46486.28088822808
2023-11-24,46615.12876104787
2023-11-27,46638.46648334787
2023-11-28,46610.509892647875
2023-11-29,46719.77867954787
2023-11-30,46667.62470124787
2023-12-01,46614.16794404788
2023-12-04,46123.63163094787
2023-12-05,46119.058921447875
2023-12-06,46087.75239925597
2023-12-07,46228.91946175597
2023-12-08,46322.94813975597
2023-12-11,46366.61950423422
2023-12-12,46344.57926202902
2023-12-13,46473.17241039152
2023-12-14,46241.975940224416
2023-12-15,46441.02563595278
2023-12-18,46820.46505833198
2023-12-19,47054.529452365685
2023-12-20,46743.203129065674
2023-12-21,47139.10364726568
2023-12-22,47464.945273065685
2023-12-26,47759.07349136568
2023-12-27,47677.97716346418
2023-12-28,47142.61402749969
2023-12-29,47044.54866310338
2024-01-02,46947.915635203375
2024-01-03,46864.41010829864
2024-01-04,46535.30709676788
2024-01-05,46540.00727476788
2024-01-08,46349.150307767886
2024-01-09,46614.708907263426
2024-01-10,46887.73429734449
2024-01-11,47089.590795344484
2024-01-12,47134.74213134449
2024-01-16,47107.849633344485
2024-01-17,46792.56113048054
2024-01-18,47098.33354548054
2024-01-19,47123.58078102499
2024-01-22,47333.95449473203
2024-01-23,47337.00398479068
2024-01-24,47207.27228373948
2024-01-25,47512.233034612625
2024-01-26,47510.52843527367
2024-01-29,47892.48514587813
2024-01-30,47941.40794600187
2024-01-31,47464.76668047653
2024-02-01,47735.253206294125
2024-02-02,47607.91388235353
2024-02-05,47329.46223784103
2024-02-06,47175.29615642053
2024-02-07,47240.83566361723
2024-02-08,47306.78446120883
2024-02-09,47717.98827753508
2024-02-12,47192.28209460758
2024-02-13,46562.85375765177
2024-02-14,47029.33048646657
2024-02-15,47444.172686541584
2024-02-16,47266.76946434158
2024-02-20,47111.41238606608
2024-02-21,47290.52418566849
2024-02-22,47532.87085246849
2024-02-23,47365.659784290634
2024-02-26,47534.11572643583
2024-02-27,47884.51419143584
2024-02-28,47840.56919243583
2024-02-29,48356.40575126148
2024-03-01,49341.11048654084
2024-03-04,49894.90901312564
2024-03-05,49733.50341947078
2024-03-06,50154.93995537079
2024-03-07,50504.08804101239
2024-03-08,50288.68723139774
2024-03-11,49729.61782987519
2024-03-12,50207.85694006928
2024-03-13,49707.556711965495
2024-03-14,48969.308281992584
2024-03-15,48830.47770014829
2024-03-18,48806.179958126784
2024-03-19,48926.24092983319
2024-03-20,49328.98916708294
2024-03-21,49433.32855179759
2024-03-22,49138.023704497595
2024-03-25,49174.55954047025
2024-03-26,49199.941405559744
2024-03-27,50271.74308336249
2024-03-28,50423.942188953646
2024-04-01,50153.660035339395
2024-04-02,49804.6558852394
2024-04-03,49470.514023804695
2024-04-04,48978.59973031309
2024-04-05,48977.086595866596
2024-04-08,48919.3580260386
2024-04-09,48823.70074121635
2024-04-10,48156.79658355006
2024-04-11,47985.25315497846
2024-04-12,48118.10588219166
2024-04-15,48030.21139548334
2024-04-16,47806.044314163126
2024-04-17,47367.18792249229
2024-04-18,47467.83242495803
2024-04-19,48036.99184445334
2024-04-22,48483.353177476434
2024-04-23,48926.43464424094
2024-04-24,49036.15816765963
2024-04-25,48768.31550898508
2024-04-26,48452.88914708428
2024-04-29,48459.82431874213
2024-04-30,48238.59958800581
2024-05-01,48403.3473206327
2024-05-02,48314.81825501801
2024-05-03,48215.27684343158
2024-05-06,48322.76995567584
2024-05-07,48802.85784718155
2024-05-08,48852.94404668154
2024-05-09,49350.76984903114
2024-05-10,49383.833880831146
2024-05-13,49208.33356793113
2024-05-14,49454.10643323114
2024-05-15,49832.42915753114
2024-05-16,49283.606124963146
2024-05-17,49285.2426807852
2024-05-20,49398.79515458569
2024-05-21,49699.313938651394
2024-05-22,49516.89716325139
2024-05-23,49025.641995951395
2024-05-24,49236.5939874514
2024-05-28,48991.977177051405
2024-05-29,48428.719118126886
2024-05-30,48417.84268878949
2024-05-31,48757.7357021954
2024-06-03,48387.26381815936
2024-06-04,48578.09537847915
2024-06-05,48763.75863640786
2024-06-06,48860.170501363755
2024-06-07,48845.10541398241
2024-06-10,48950.5926292657
2024-06-11,48904.55391564971
2024-06-12,48972.759406796904
2024-06-13,48772.620485377716
2024-06-14,48688.83768145152
2024-06-17,49097.128728079275
2024-06-18,49225.24592927927
2024-06-20,49284.886320160425
2024-06-21,49359.87445916682
2024-06-24,49778.55344515712
2024-06-25,49804.584178473626
2024-06-26,49679.28666351713
2024-06-27,49581.41925717892
2024-06-28,49562.82639160353
2024-07-01,49832.017963550126
2024-07-02,49640.17710488868
2024-07-03,49525.90894531123
2024-07-05,49417.95255335284
2024-07-08,49273.227395689624
2024-07-09,49383.287881028926
2024-07-10,49576.56436287013
2024-07-11,49786.33231993073
2024-07-12,50070.39106148823
2024-07-15,49900.91259544124
2024-07-16,50547.432634534736
2024-07-17,51145.57001332213
2024-07-18,50529.06390637313
2024-07-19,50347.69903613639
2024-07-22,49573.16533661938
2024-07-23,49343.690768044486
2024-07-24,49177.92467380964
2024-07-25,48895.1465032784
2024-07-26,49067.783882357646
2024-07-29,48756.96997285765
2024-07-30,48758.569773557654
2024-07-31,48573.54330614985
2024-08-01,47879.324723389196
2024-08-02,47496.4285381181
2024-08-05,47443.597516125505
2024-08-06,47708.837092357266
2024-08-07,47646.13829223526
2024-08-08,47931.38778031766
2024-08-09,47969.44005331556
2024-08-12,47575.081784990114
2024-08-13,48001.665224752614
2024-08-14,48280.77129994157
2024-08-15,48475.87472394156
2024-08-16,48779.41843904157
2024-08-19,48926.619952041576
2024-08-20,48893.81050674156
2024-08-21,49250.25604254157
2024-08-22,48937.789000041565
2024-08-23,49938.838907141566
2024-08-26,50081.91603984156
2024-08-27,50141.81512164157
2024-08-28,50163.47860564156
2024-08-29,49988.86664884156
2024-08-30,50324.35520344156
2024-09-03,50141.66456434157
2024-09-04,50264.886847441565
2024-09-05,50011.80311224156
2024-09-06,49783.50312788481
2024-09-09,50030.56496308482
2024-09-10,50135.53550770743
2024-09-11,50334.29656061642
2024-09-12,50866.57950772467
2024-09-13,51274.267040403174
2024-09-16,51584.339629196875
2024-09-17,51491.42690669687
2024-09-18,51547.21438879408
2024-09-19,52879.333131938474
2024-09-20,53010.75586593848
2024-09-23,53222.09308443847
2024-09-24,53483.20774463848
2024-09-25,53341.73292023849
2024-09-26,53647.535782446736
2024-09-27,53519.51025228014
2024-09-30,54105.324177622526
2024-10-01,53783.46351372253
2024-10-02,53816.053423322526
2024-10-03,53902.66772912253
2024-10-04,54362.206977722526
2024-10-07,53917.47578138493
2024-10-08,54763.075465761336
2024-10-09,55389.671087783434
2024-10-10,54989.646695883435
2024-10-11,55248.768540583435
2024-10-14,55724.19248978343
2024-10-15,55333.34602328343
2024-10-16,55623.30775228343
2024-10-17,55699.53680668343
2024-10-18,55863.89114878343
2024-10-21,55253.60988228343
2024-10-22,55041.86691598344
2024-10-23,54564.516958471526
2024-10-24,54770.798140895335
2024-10-25,54122.69995614786
2024-10-28,54216.46025815011
2024-10-29,54471.16711628191
2024-10-30,53736.584471342154
2024-10-31,53538.70320668232
2024-11-01,53788.797821234926
2024-11-04,53150.77738659627
2024-11-05,53361.48521814243
2024-11-06,54022.70790424691
2024-11-07,54444.75700743067
2024-11-08,54978.479457745816
2024-11-11,55125.91943385487
2024-11-12,54615.685694037784
2024-11-13,54809.30374510602
2024-11-14,54585.338132128134
2024-11-15,54363.71841634709
2024-11-18,54480.36930341749
2024-11-19,54328.525343718975
2024-11-20,54284.71582152062
2024-11-21,54714.549062912374
2024-11-22,54897.50514519848
2024-11-25,55039.49620914913
2024-11-26,55184.62474773888
2024-11-27,55112.14330779918
2024-11-29,55197.83425214449
2024-12-02,55049.88941494449
2024-12-03,55100.01386447819
2024-12-04,55355.04595185879
2024-12-05,55332.84850649328
2024-12-06,56086.16231130613
2024-12-09,55780.81473557964
2024-12-10,55147.87583864513
2024-12-11,55730.60624634514
2024-12-12,55399.329262088795
2024-12-13,58288.1344095927
2024-12-16,59643.71190608919
2024-12-17,58833.113511967706
2024-12-18,57047.75902142979
2024-12-19,56791.23911325799
2024-12-20,57193.44086802539
2024-12-23,58047.47162076035
2024-12-24,58634.11790861904
2024-12-26,58936.30248471354
2024-12-27,58703.962146213555
2024-12-30,58306.85632531354
2024-12-31,58066.14929371354
2025-01-02,58075.15775521354
2025-01-03,58111.845123613544
2025-01-06,58298.944798562945
2025-01-07,57847.44836091235
2025-01-08,57983.348673005545
2025-01-10,58730.59811880316
2025-01-13,58319.45730014605
2025-01-14,58728.92043044871
2025-01-15,58815.388001019055
2025-01-16,59402.84003975091
2025-01-17,60563.52065598882
2025-01-21,61750.48342448341
2025-01-22,61541.38932872426
2025-01-23,62042.86377014171
2025-01-24,62364.38899317621
2025-01-27,59654.186444728926
2025-01-28,59641.682592389916
2025-01-29,59594.20185995705
2025-01-30,59370.922341442565
2025-01-31,59143.25961984361
2025-02-03,58662.33210260952
2025-02-04,59015.517740019015
2025-02-05,58951.76321938762
2025-02-06,58615.0056434876
2025-02-07,58639.80066768761
2025-02-10,58680.34401718762
2025-02-11,58702.63443021901
2025-02-12,58782.020173719015
2025-02-13,58627.197282919005
2025-02-14,58889.481183019016
2025-02-18,59369.63890231901
2025-02-19,59719.742660083015
2025-02-20,59388.57061838302
2025-02-21,59220.893088783
2025-02-24,59090.22541088301
2025-02-25,59736.5257952996
2025-02-26,59300.71085166227
2025-02-27,59440.799939781624
2025-02-28,60203.81663488162
2025-03-03,59000.0252588257
2025-03-04,57853.28377642571
2025-03-05,58640.50738122182
2025-03-06,57764.54608868356
2025-03-07,58527.73169611747
2025-03-10,57924.48932632457
2025-03-11,57237.670806038426
2025-03-12,57425.144082127736
2025-03-13,56889.78661155194
2025-03-14,57259.37590188044
2025-03-17,57792.053233795144
2025-03-18,57624.750025211346
2025-03-19,57727.07965957633
2025-03-20,57683.09253786855
2025-03-21,57784.48473555174
2025-03-24,57998.411658344245
2025-03-25,57987.743605298245
2025-03-26,57987.743605298245
2025-03-27,57987.743605298245
2025-03-28,57932.160702417255
2025-03-31,58133.33241541726
2025-04-01,58315.28337835589
2025-04-02,58033.14114477121
2025-04-03,58000.16633027119
2025-04-04,57477.03855081269
2025-04-07,57477.03855081269
2025-04-08,55876.354844859874
2025-04-09,55646.681142147434
2025-04-10,55131.524013003494
2025-04-11,56044.11935862146
2025-04-14,56637.973593973205
2025-04-15,56572.286348173206
2025-04-16,56026.32639047321
2025-04-17,56421.12941632325
2025-04-21,55886.81320182326
2025-04-22,56010.7840104776
2025-04-23,55852.3586522776
2025-04-24,55741.556487177615
2025-04-25,55609.27478757761
2025-04-28,55919.28575749736
2025-04-29,55895.182537297354
2025-04-30,56052.89199897236
2025-05-01,55920.96597777236
2025-05-02,55983.19297208111
2025-05-05,55900.85891188111
2025-05-06,56139.99843468111
2025-05-07,56100.10063948111
2025-05-08,55787.23516888111
2025-05-09,55803.456116072506
2025-05-12,55812.56703837251
2025-05-13,55784.91865997251
2025-05-14,55786.51343227251
2025-05-15,55782.24492173096
2025-05-16,55959.72899841956
2025-05-19,56034.47169851436
2025-05-20,55976.54676291435
2025-05-21,55803.39311291436
2025-05-22,55691.820923762905
2025-05-23,55755.81189888512
2025-05-27,55755.81189888512
2025-05-28,55755.81189888512
2025-05-29,55755.81189888512
2025-05-30,55755.81189888512
2025-06-02,55779.26631152131
2025-06-03,55723.01471612131
2025-06-04,55602.557408058514
2025-06-05,55597.70937368992
2025-06-06,55597.70937368992
2025-06-09,55597.70937368992
2025-06-10,55610.08882805026
2025-06-11,55592.66166212047
2025-06-12,55592.66166212047
2025-06-13,55592.66166212047
2025-06-16,55657.944958898566
2025-06-17,55626.837495361964
2025-06-18,55626.837495361964
2025-06-20,55617.145282892176
2025-06-23,56048.17849776732
2025-06-24,56698.258168244574
2025-06-25,56195.53972872168
2025-06-26,56571.125409465574
2025-06-27,57205.16522926556
2025-06-30,57740.565377405015
2025-07-01,58053.370601305025
2025-07-02,57769.56720720503
2025-07-03,58184.10240390503
2025-07-07,57869.684653205026
2025-07-08,57821.98694700503
2025-07-09,57776.59804470502
2025-07-10,57617.80185127504
2025-07-11,56810.91841762379
2025-07-14,57136.233924479144
2025-07-15,56645.381996651144
2025-07-16,56738.575055945956
2025-07-17,56926.53475274594
2025-07-18,56466.783707076705
2025-07-21,56484.110987390995
2025-07-22,56192.0160755767
2025-07-23,56004.56686366744
2025-07-24,55932.2419564619
2025-07-25,56018.353118394196
2025-07-28,55816.853920894195
2025-07-29,55721.142210894206
2025-07-30,55646.50795164074
2025-07-31,55607.233111461646
2025-08-01,55402.99477011126
2025-08-04,55705.774182691355
2025-08-05,55297.14421138596
2025-08-06,54706.29640514667
2025-08-07,54769.40555734666
