,equity
2023-07-21,56716.19681419531
2023-07-24,56816.46250188211
2023-07-25,56956.95773020524
2023-07-26,56622.50975907132
2023-07-27,56417.09633548152
2023-07-28,56923.360646403606
2023-07-31,57306.51522749363
2023-08-01,57597.60468908681
2023-08-02,56665.55219053968
2023-08-03,56351.12110494805
2023-08-04,56176.1077892996
2023-08-07,56751.727295655604
2023-08-08,56439.91153774362
2023-08-09,56241.01511699646
2023-08-10,56359.00181671337
2023-08-11,56612.75541628201
2023-08-14,56803.42105482322
2023-08-15,56016.56536724376
2023-08-16,55570.41808257361
2023-08-17,55312.55322947026
2023-08-18,55324.901486845185
2023-08-21,55146.905392710796
2023-08-22,54769.265550466705
2023-08-23,55071.38859580888
2023-08-24,54248.91308630464
2023-08-25,54637.10542313832
2023-08-28,54953.52067092193
2023-08-29,55598.62811022933
2023-08-30,55852.91243977733
2023-08-31,56030.25485243008
2023-09-01,56436.365743620576
2023-09-05,56315.66683760169
2023-09-06,56382.64730084839
2023-09-07,56433.441672197834
2023-09-08,56634.64227921223
2023-09-11,56887.15441504598
2023-09-12,56508.05670355227
2023-09-13,56450.593937227575
2023-09-14,56672.525744631865
2023-09-15,55955.690976950726
2023-09-18,56037.96918151702
2023-09-19,55570.46910571763
2023-09-20,55195.55009102674
2023-09-21,54334.018893846565
2023-09-22,54123.39396109192
2023-09-25,54029.167496563496
2023-09-26,53329.249086688724
2023-09-27,53304.25605165648
2023-09-28,53751.361445069415
2023-09-29,53379.952036439405
2023-10-02,53039.251307509396
2023-10-03,52275.42033465491
2023-10-04,52507.57279875576
2023-10-05,52622.943790910926
2023-10-06,53243.12193832018
2023-10-09,53409.43690466999
2023-10-10,53732.74896342468
2023-10-11,54186.50949902376
2023-10-12,54001.674444261334
2023-10-13,53680.661381250466
2023-10-16,54166.58156894947
2023-10-17,53774.93090253275
2023-10-18,53236.51700908646
2023-10-19,53034.684651655916
2023-10-20,52320.56824975845
2023-10-23,52072.10550443306
2023-10-24,52296.543821847765
2023-10-25,51844.01051421171
2023-10-26,51611.75892716662
2023-10-27,50877.71922503887
2023-10-30,51527.41369821837
2023-10-31,52102.26348344338
2023-11-01,52187.073451629934
2023-11-02,53120.33553173988
2023-11-03,53341.34554953493
2023-11-06,53209.83079450389
2023-11-07,53401.82457818949
2023-11-08,53248.65826068949
2023-11-09,52826.45220246748
2023-11-10,53229.982379577195
2023-11-13,53196.00351617425
2023-11-14,53985.362841620634
2023-11-15,54224.97839956523
2023-11-16,54238.94486648809
2023-11-17,54156.25311794061
2023-11-20,54507.3187284406
2023-11-21,54511.04973139956
2023-11-22,54704.825998764994
2023-11-24,54790.90814453666
2023-11-27,54684.840182167245
2023-11-28,54667.707929562464
2023-11-29,54915.1883263034
2023-11-30,55412.33528992416
2023-12-01,55910.96074008329
2023-12-04,55669.83419901009
2023-12-05,55760.366564016775
2023-12-06,55670.21679214288
2023-12-07,55866.28889796778
2023-12-08,55880.584964317924
2023-12-11,56115.630746336086
2023-12-12,56293.66266898559
2023-12-13,57145.50238999142
2023-12-14,57503.52026256183
2023-12-15,57500.49344563585
2023-12-18,57465.431033943
2023-12-19,57808.401459042994
2023-12-20,56959.4618291422
2023-12-21,57502.45234700335
2023-12-22,57013.31602950846
2023-12-26,57377.010227964856
2023-12-27,57417.82018683916
2023-12-28,57300.18465991494
2023-12-29,57086.094563083854
2024-01-02,56655.84339705042
2024-01-03,56019.09970890854
2024-01-04,55944.498551954886
