,equity
2023-07-21,57033.15256504109
2023-07-24,57205.345361639236
2023-07-25,57516.6935727236
2023-07-26,57485.234231541326
2023-07-27,57427.50456613876
2023-07-28,57880.6200875615
2023-07-31,58121.64374584978
2023-08-01,58543.90611753679
2023-08-02,57498.29477748232
2023-08-03,57258.028216973835
2023-08-04,56862.34127661497
2023-08-07,57480.28221266703
2023-08-08,57150.80273845582
2023-08-09,56782.84973122812
2023-08-10,56944.43016503217
2023-08-11,56950.37291938447
2023-08-14,57221.07220550828
2023-08-15,56541.55779428049
2023-08-16,56148.564922111655
2023-08-17,55989.945348048364
2023-08-18,55772.73720090962
2023-08-21,55718.197064124186
2023-08-22,55479.232824048726
2023-08-23,55761.22170067028
2023-08-24,55167.02840716082
2023-08-25,55666.57452873922
2023-08-28,55990.88877959722
2023-08-29,56605.578718997225
2023-08-30,56649.06771689723
2023-08-31,56876.91016309722
2023-09-01,57215.185624697224
2023-09-05,57146.77751714674
2023-09-06,57111.735127111024
2023-09-07,57310.73694266223
2023-09-08,57763.82828202797
2023-09-11,57992.34922285758
2023-09-12,57388.08531852967
2023-09-13,57536.948517096185
2023-09-14,57629.75945507954
2023-09-15,56954.94469811565
2023-09-18,57052.24474103593
2023-09-19,56711.408871349566
2023-09-20,56243.271078619815
2023-09-21,55258.20251289633
2023-09-22,55098.567464042535
2023-09-25,55112.04014185339
2023-09-26,54517.04906901696
2023-09-27,54804.010151942864
2023-09-28,55253.44976527161
2023-09-29,54580.29239402581
2023-10-02,54099.83877295446
2023-10-03,53597.0807344806
2023-10-04,53367.882619915166
2023-10-05,53578.04061238361
2023-10-06,54237.11767276045
2023-10-09,54211.8223740967
2023-10-10,54349.01482294785
2023-10-11,55377.42619624785
2023-10-12,55136.686374647856
2023-10-13,54742.229580247855
2023-10-16,55165.81678463295
2023-10-17,54417.04020462822
2023-10-18,53808.83659693942
2023-10-19,53379.63878494792
2023-10-20,52655.91420917407
2023-10-23,52078.54442260455
2023-10-24,52142.869764071176
2023-10-25,51809.76270630605
2023-10-26,51085.24219039647
2023-10-27,50576.5895497789
2023-10-30,51493.8364362884
2023-10-31,51851.85254388841
2023-11-01,52408.87447418841
2023-11-02,52969.2543879884
2023-11-03,53073.33669328841
2023-11-06,53442.62527958841
2023-11-07,53646.3606358884
2023-11-08,53727.81602438842
2023-11-09,53713.9195583884
2023-11-10,54531.4966340884
2023-11-13,54658.576288288416
2023-11-14,54848.9177622884
2023-11-15,55141.959849688414
2023-11-16,55007.939050411085
2023-11-17,54624.51617509199
2023-11-20,55114.705816391994
2023-11-21,55132.942452467396
2023-11-22,55531.70227316738
2023-11-24,55649.589782844785
2023-11-27,55558.84838774479
2023-11-28,55529.19028544478
2023-11-29,55269.336284544785
2023-11-30,55499.73242831069
2023-12-01,55534.008751310685
2023-12-04,54779.76777159518
2023-12-05,54809.84138318611
2023-12-06,54442.19245566179
2023-12-07,54791.32824053602
