,equity
2023-11-24,72811.01722532442
2023-11-27,72747.4574155929
2023-11-28,72938.13114128697
2023-11-29,72867.09271156439
2023-11-30,72683.89760586138
2023-12-01,72891.40844530705
2023-12-04,72214.70959246886
2023-12-05,72396.02482440234
2023-12-06,71977.30157367716
2023-12-07,72982.98556061505
2023-12-08,73308.25752576324
2023-12-11,73934.45093096377
2023-12-12,74523.2974345632
2023-12-13,75471.02625160829
2023-12-14,75405.59246172445
2023-12-15,75770.10279936095
2023-12-18,76247.36126598124
2023-12-19,76636.94723374561
2023-12-20,75498.13860176982
2023-12-21,76376.60448880245
2023-12-22,76490.86708728944
2023-12-26,76959.1210574144
2023-12-27,77115.77815545768
2023-12-28,77078.30368556174
2023-12-29,76744.72343121436
2024-01-02,75446.0318013044
2024-01-03,74647.70180754806
2024-01-04,74263.52903212183
2024-01-05,74351.60172659715
2024-01-08,75888.30480565318
2024-01-09,76038.23747659009
2024-01-10,76553.5681399602
2024-01-11,76712.85360115716
2024-01-12,76752.21954194033
2024-01-16,76744.72343121436
2024-01-17,76311.82622124437
2024-01-18,77395.02363192206
2024-01-19,78929.82953659036
2024-01-22,79032.90604963532
2024-01-23,79360.85276640803
2024-01-24,79801.2458969873
2024-01-25,79898.69476607477
2024-01-26,79422.6893585175
2024-01-29,80236.01727722627
2024-01-30,79701.92323786418
2024-01-31,78140.86374009511
2024-02-01,79061.0220257707
2024-02-02,80397.18812557659
2024-02-05,80292.24333587982
2024-02-06,80131.07248752951
2024-02-07,80955.63858365171
2024-02-08,81105.56555108808
2024-02-09,81903.88965122723
2024-02-12,81583.43315156328
2024-02-13,80310.97781413587
2024-02-14,81186.14232495413
2024-02-15,81427.90173440486
2024-02-16,80689.54024622287
2024-02-20,80080.47977633397
2024-02-21,79760.01186966899
2024-02-22,82095.0506459819
2024-02-23,81853.29694003168
2024-02-26,81810.18893256107
2024-02-27,82006.97205788938
2024-02-28,81570.32099399756
2024-02-29,82269.33384201462
2024-03-01,83508.0571564669
2024-03-04,83210.08898898086
2024-03-05,81716.4823202777
2024-03-06,82229.96219773093
2024-03-07,83478.07290367973
2024-03-08,82273.07609881874
2024-03-11,81967.61771422392
2024-03-12,83142.61866918002
2024-03-13,82503.57984012115
2024-03-14,82295.57013449715
2024-03-15,81317.33481413445
2024-03-18,82092.88654777009
2024-03-19,82297.42681403123
2024-03-20,83273.19042738772
2024-03-21,83667.26714134039
2024-03-22,83762.96370495319
2024-03-25,83458.97302115739
2024-03-26,83188.76702265814
2024-03-27,83472.10856307522
2024-03-28,83318.2362942164
2024-04-01,83494.62579298906
2024-04-02,82774.05295256116
2024-04-03,82959.82965271364
2024-04-04,81691.31372309146
2024-04-05,82653.9535817645
2024-04-08,82678.34479183065
2024-04-09,82984.22086277978
2024-04-10,82259.89416843005
2024-04-11,83573.43866426269
2024-04-12,82241.12508893754
2024-04-15,80888.1739673514
2024-04-16,80895.68167519507
2024-04-17,79908.65079657256
2024-04-18,79452.65612056977
2024-04-19,77808.83255648742
2024-04-22,78591.3581503186
2024-04-23,79764.14861859204
2024-04-24,80034.37210782619
2024-04-25,79647.81469883492
2024-04-26,80876.91259570255
2024-04-29,81205.30019306502
2024-04-30,79674.07418555288
2024-05-01,79097.98603237061
2024-05-02,80107.55144152515
2024-05-03,81717.58480692712
2024-05-06,82612.67297585866
2024-05-07,82625.8085177765
2024-05-08,82577.02039414368
2024-05-09,82757.15766310428
2024-05-10,82952.31053786894
2024-05-13,83143.72096571275
2024-05-14,83678.5228094887
2024-05-15,84986.43947124718
2024-05-16,84813.79222927867
2024-05-17,84772.52341060723
2024-05-20,85363.61519224246
2024-05-21,85530.61710940192
2024-05-22,85513.72790367893
2024-05-23,85129.05607195769
2024-05-24,85934.06980785006
2024-05-28,86258.69765767349
2024-05-29,85650.72807731631
2024-05-30,84733.11678485373
2024-05-31,84575.48495857256
2024-06-03,85029.59405730532
2024-06-04,85262.27919743779
2024-06-05,86981.15037187091
2024-06-06,86951.13132773059
2024-06-07,86874.19224649259
2024-06-10,87225.09707376889
2024-06-11,87823.69656324778
2024-06-12,88973.98729234231
2024-06-13,89456.2528620641
2024-06-14,89919.74935229338
2024-06-17,91021.2458740212
2024-06-18,91049.39683162638
2024-06-20,90347.593070691
2024-06-21,90105.52034894534
2024-06-24,89079.69787204146
2024-06-25,90098.37823548463
2024-06-26,90284.43935019609
2024-06-27,90517.48419109432
2024-06-28,90047.62886814162
2024-07-01,90575.76446051642
2024-07-02,91526.7828665415
2024-07-03,92289.84887708456
2024-07-05,93252.13473849234
2024-07-08,93473.91250424123
2024-07-09,93554.72711407872
2024-07-10,94530.18330875746
2024-07-11,92457.11771806808
2024-07-12,93000.28013313127
2024-07-15,93250.26075834002
2024-07-16,93285.97151576025
2024-07-17,90547.56711444039
2024-07-18,90119.04448936488
2024-07-19,89320.26791151828
2024-07-22,90650.94534266256
2024-07-23,90331.44056711778
2024-07-24,87091.21234222912
2024-07-25,86130.80065109034
2024-07-26,87014.15728981399
2024-07-29,87188.95113925941
2024-07-30,85991.71736894845
2024-07-31,88536.52975347776
2024-08-01,86392.05443518232
2024-08-02,84341.5349721427
2024-08-05,81826.79980745896
2024-08-06,82608.65809172996
2024-08-07,81714.0281040064
2024-08-08,84213.73644600177
2024-08-09,84653.5322299605
2024-08-12,84835.84538436732
2024-08-13,86940.85038782017
2024-08-14,86969.05343739672
2024-08-15,89166.15780668802
2024-08-16,89280.80330017621
2024-08-19,90453.59376844965
2024-08-20,90263.76720269864
2024-08-21,90684.77052281276
2024-08-22,89246.96671302499
2024-08-23,90214.90360274234
2024-08-26,89339.0660788634
2024-08-27,89605.95340053007
2024-08-28,88589.1529108564
2024-08-29,88459.46880744543
2024-08-30,89513.85403469163
2024-09-03,86796.13927160413
2024-09-04,86570.59054143187
2024-09-05,86651.41674838707
2024-09-06,84330.25610975896
2024-09-09,85414.71266323353
2024-09-10,86204.10184958363
2024-09-11,88076.06182202157
2024-09-12,88940.62048351677
2024-09-13,89339.0660788634
2024-09-16,88944.37433743862
2024-09-17,88991.36395724259
2024-09-18,88606.07709804921
2024-09-19,90846.3999326044
2024-09-20,90673.49736392953
2024-09-23,90913.83527093541
2024-09-24,91352.37780571447
2024-09-25,91437.0740278853
2024-09-26,92124.04222351623
2024-09-27,91612.1114168027
2024-09-30,91860.54886488896
2024-10-01,90580.70768441219
2024-10-02,90708.69176443653
2024-10-03,90640.9372201934
2024-10-04,91719.38855797645
2024-10-07,90736.91800824851
2024-10-08,92092.0505286647
2024-10-09,92816.66144745673
2024-10-10,92711.25258293477
2024-10-11,92856.18404438737
2024-10-14,93635.38506776874
2024-10-15,92383.77583460446
2024-10-16,92395.07218772311
2024-10-17,92459.05557742617
2024-10-18,93065.098895543
2024-10-21,93243.90192561662
2024-10-22,93345.52803848078
2024-10-23,91915.1273723606
2024-10-24,92660.45112362041
2024-10-25,93225.08626753658
2024-10-28,93240.13058095986
2024-10-29,94136.03111848133
2024-10-30,93424.59053296027
2024-10-31,91066.29193096657
2024-11-01,91740.084089826
2024-11-04,91472.8309836597
2024-11-05,92639.74418476982
2024-11-06,95156.13298436935
2024-11-07,96654.3054953509
2024-11-08,96767.23366483423
2024-11-11,96710.76387659204
2024-11-12,96535.72629755798
2024-11-13,96411.50177495599
2024-11-14,95741.47506713611
2024-11-15,93460.34767885135
2024-11-18,94109.67885482167
2024-11-19,94757.12464363864
2024-11-20,94702.55202978422
2024-11-21,95043.21641200373
2024-11-22,95195.6612848005
2024-11-25,95346.22647394444
2024-11-26,95858.16298415848
2024-11-27,95103.42845705003
2024-11-29,95939.0935651731
2024-12-02,96983.67371456846
2024-12-03,97281.02685458238
2024-12-04,98483.72609931952
2024-12-05,98210.80466422539
2024-12-06,99089.76941743633
2024-12-09,98318.10499963457
2024-12-10,97983.09164572462
2024-12-11,99737.20360913558
2024-12-12,99093.51737774098
2024-12-13,99852.02324950616
2024-12-16,101289.95462758877
2024-12-17,100843.88138084729
2024-12-18,97205.77049611277
2024-12-19,96772.86168902507
2024-12-20,97617.95487361497
2024-12-23,98569.00236749266
2024-12-24,99905.58634376957
2024-12-26,99837.70404111492
2024-12-27,98510.56563203978
2024-12-30,97200.38620151057
2024-12-31,96374.68872100303
2025-01-02,96186.17928363745
2025-01-03,97760.27546264879
2025-01-06,98883.82513946523
2025-01-07,97119.31626496674
2025-01-08,97136.28684063039
2025-01-10,95613.08489787515
2025-01-13,95305.8103285999
2025-01-14,95215.3123155892
2025-01-15,97405.86051103928
2025-01-16,96723.44675068573
2025-01-17,98355.9798552666
2025-01-21,98932.83969206849
2025-01-22,100197.78161815171
2025-01-23,100410.81572749546
2025-01-24,99843.37826365994
2025-01-27,96936.46355941126
2025-01-28,98369.18497989074
2025-01-29,98184.45240056574
2025-01-30,98602.93192170226
2025-01-31,98459.65979866598
2025-02-03,97671.6689205253
2025-02-04,98870.63161195884
2025-02-05,99319.29253688366
2025-02-06,99837.70404111492
2025-02-07,98578.424740459
2025-02-10,99771.72480646522
2025-02-11,99534.19511299589
2025-02-12,99592.6434455665
2025-02-13,101025.37627304699
2025-02-14,101449.53020684523
2025-02-18,101679.50580400001
2025-02-19,101707.78432990004
2025-02-20,101276.07648990396
2025-02-21,99174.15232731226
2025-02-24,98003.46797166206
2025-02-25,96768.69585224941
2025-02-26,97002.44279406096
2025-02-27,94308.55649565553
2025-02-28,95797.82888420117
2025-03-03,93701.53844930082
2025-03-04,93418.77125138551
2025-03-05,94636.57849863503
2025-03-06,92033.18450973977
2025-03-07,92709.95883890145
2025-03-10,89116.84743252477
2025-03-11,88903.82492029872
2025-03-12,89906.72407805217
2025-03-13,88289.26437474719
2025-03-14,90423.25551839721
2025-03-17,91009.54343166592
2025-03-18,89458.06296301066
2025-03-19,90655.13437367365
2025-03-20,90347.85410089788
2025-03-21,90645.7062972068
2025-03-24,92634.86484007983
2025-03-25,93163.49340501575
2025-03-26,91449.22305433085
2025-03-27,90928.14288220894
2025-03-28,88534.21470261899
2025-03-31,88530.42605734403
2025-04-01,89244.07731966443
2025-04-02,89895.43342843401
2025-04-03,85083.00049542126
2025-04-04,79798.60023321539
2025-04-07,79991.17113329719
2025-04-08,78550.65207703125
2025-04-09,87979.14699069891
2025-04-10,84237.19931630087
2025-04-11,85789.10925854486
2025-04-14,86370.60471044808
2025-04-15,86466.88151017988
2025-04-16,83859.60590895126
2025-04-17,83844.50931343992
2025-04-21,81769.62202468626
2025-04-22,83916.24414057529
2025-04-23,85819.31385656858
2025-04-24,88234.01855771538
2025-04-25,89217.64957968131
2025-04-28,89189.33055892763
2025-04-29,89778.37440364485
2025-04-30,89767.04896267358
2025-05-01,90939.46223944634
2025-05-02,92289.36731152446
2025-05-05,91741.85350580224
2025-05-06,90888.50431410118
2025-05-07,91245.32119989392
2025-05-08,92187.42218286487
2025-05-09,92126.99530596586
2025-05-12,95880.2798283362
2025-05-13,97341.55221192358
2025-05-14,97924.93343121353
2025-05-15,98032.54707891762
2025-05-16,98459.24211231167
